Country,Authors,Papers,AuthorsPerPaper
USA,44,48,0.9166666666666666
UK,7,10,0.7
Germany,6,7,0.8571428571428571
China,5,5,1.0
Australia,3,3,1.0
Canada,3,3,1.0
France,3,3,1.0
Italy,3,3,1.0
Israel,2,3,0.6666666666666666
India,2,2,1.0
South Korea,2,2,1.0
Switzerland,2,2,1.0
Denmark,1,1,1.0
Hong Kong,1,1,1.0
Ireland,1,1,1.0
Norway,1,1,1.0
Spain,1,1,1.0
Taiwan,1,1,1.0
Turkey,1,1,1.0
