Author,Papers,Countries,repeat
Maarten de Rijke,2,Netherlands,True
Maarten Sap,2,USA,True
Adrian Weller,2,UK,True
Sami Zhioua,2,France; United Arab Emirates,True
Harith Alani,2,UK,True
Gjergji Kasneci,2,Germany,True
Shicheng Xu,2,China,True
Joymallya Chakraborty,2,USA,True
Michelle Seng Ah Lee,2,UK,True
Shijie Geng,2,USA,True
Danaë Metaxa,2,USA,True
Ziad Obermeyer,2,USA,True
Ludovico Boratto,2,Italy,True
Inioluwa Deborah Raji,2,Canada; USA,True
Mayra Russo,2,Germany,True
Theresia Veronika Rampisela,2,Denmark,True
Ruoyuan Gao,2,USA,True
Hui Wang,2,USA,True
Maribeth Rauh,2,UK,True
Hannah Rose Kirk,2,UK,True
Maria Maistro,2,Denmark,True
David Danks,2,USA,True
Maria De-Arteaga,2,USA,True
Salvatore Ruggieri,2,Italy,True
Seth Neel,2,USA,True
Sendhil Mullainathan,2,USA,True
Aleksandra Korolova,2,USA,True
Haiyi Zhu,2,USA,True
Derek Ouyang,2,USA,True
Mallak Alkhathlan,2,USA,True
Hansa Srinivasan,2,USA,True
Hanxiong Chen,2,USA,True
Percy Liang,2,USA,True
Sahil Verma,2,India; USA,True
Alex John London,2,USA,True
Alexander D'Amour,2,UK; USA,True
Mark Díaz,2,USA,True
Michael Carl Tschantz,2,USA,True
Hridesh Rajan,2,USA,True
Zhiwei Steven Wu,2,USA,True
Samuel Yeom,2,USA,True
Zichong Wang,2,USA,True
Dan Jurafsky,2,USA,True
Tuukka Ruotsalo,2,Denmark,True
Andrew Smart,2,USA,True
Paula Reyero Lobo,2,UK,True
Jing Ma,2,USA,True
Holli Sargeant,2,UK,True
Satyapriya Krishna,2,USA,True
Gabriel Grill,2,USA,True
Sanjana Gautam,2,USA,True
Fuli Feng,2,China,True
Ujwal Gadiraju,2,India; Netherlands,True
Hilson Shrestha,2,USA,True
Teanna Barrett,2,USA,True
Yixin Wan,2,USA,True
Aaron Roth,2,USA,True
Hilde Weerts,2,Netherlands,True
Yiqi Wang,2,USA,True
Liang Chen,2,China,True
Franck Dernoncourt,2,USA,True
Tatsunori Hashimoto,2,USA,True
Parker Barnes,2,USA,True
Sanmay Das,2,USA,True
Li Chen,2,Hong Kong,True
Lisa Anne Hendricks,2,UK,True
Shuchang Liu,2,USA,True
Miriam Fernández,2,Chile; UK,True
George Obaido,2,South Africa; USA,True
Luca Deck,2,Germany,True
Amy X. Zhang,2,USA,True
Lu Wang,2,China; USA,True
Runxiong Liu,2,China,True
Anaelia Ovalle,2,USA,True
Gerard de Melo,2,USA,True
Abigail Z. Jacobs,2,USA,True
Georgina Curto,2,Spain; USA,True
George Pu,2,USA,True
Juan E. Gilbert,2,USA,True
Hannah Devinney,2,Sweden,True
Londa Schiebinger,2,USA,True
Andrew D. Selbst,2,USA,True
Tim Menzies,2,USA,True
Ruizhe Chen,2,China; USA,True
Yuan Luo,2,USA,True
Jonathan Bernabe Dabu,2,USA,True
Ramanjot Kaur,1,India,False
Poom Konghuayrob,1,Thailand,False
Pratyusha Kalluri,1,USA,False
Ram Rimal,1,USA,False
Pranay Lohia,1,India,False
Pratik Chaudhari,1,USA,False
Prasanna Sattigeri,1,USA,False
Portia Botchway,1,USA,False
Pranjali Attarde,1,India,False
Pranav Narayanan Venkit,1,USA,False
Prakhar Ganesh,1,Singapore,False
Prasanna Padmanabham,1,USA,False
