SN,Paper Title,DOI,Domain,Year,umap_x,umap_y,cited_by_count,is_oa,oa_status,oa_url
302,The ethics of ChatGPT in medicine and healthcare: a systematic review on Large Language Models (LLMs),https://doi.org/10.1038/s41746-024-01157-x,Health & Clinical AI,2024,2.6405654,-0.6729138,290,True,gold,https://doi.org/10.1038/s41746-024-01157-x
303,"Dynamic feedback loops in recommender systems: Analyzing fairness, popularity bias, and user group disparities",https://doi.org/10.1007/s10844-026-01025-y,Recommender Systems,2026,8.736839,1.189092,0,True,hybrid,https://link.springer.com/content/pdf/10.1007/s10844-026-01025-y.pdf
304,Mind the Blind Spots: A Focus-Level Evaluation Framework for LLM Reviews,https://doi.org/10.18653/v1/2025.emnlp-main.1805,LLMs & NLP,2025,4.8503156,1.052616,2,True,gold,https://aclanthology.org/2025.emnlp-main.1805.pdf
305,Measuring the Fairness Gap Between Retrieval and Generation in RAG Systems using a Cognitive Complexity Framework,https://doi.org/10.1145/3726302.3730230,LLMs & NLP,2025,5.9935026,0.06580486,2,True,gold,https://dl.acm.org/doi/pdf/10.1145/3726302.3730230
306,Popularity Bias in Recommender Systems: The Search for Fairness in the Long Tail,https://doi.org/10.3390/info16020151,Recommender Systems,2025,8.777637,1.026851,12,True,gold,https://www.mdpi.com/2078-2489/16/2/151/pdf?version=1739938654
307,Toward Human-Like Evaluation for Natural Language Generation with Error Analysis,https://doi.org/10.18653/v1/2023.acl-long.324,LLMs & NLP,2023,4.8728476,1.2648627,10,True,gold,https://aclanthology.org/2023.acl-long.324.pdf
308,FairVLM: Enhancing Fairness and Prompt Sensitivity in Vision Language Models for Medical Image Segmentation,https://doi.org/10.1109/wacv61042.2026.00719,Health & Clinical AI,2026,0.89361376,-1.8798019,0,False,closed,
309,Understanding the Effect of Model Compression on Social Bias in Large Language Models,https://doi.org/10.48550/arxiv.2312.05662,LLMs & NLP,2023,4.6299076,0.25468996,0,True,green,https://arxiv.org/pdf/2312.05662
310,"Linguistic and dialectal bias in large language models: a review of evidence, mechanisms,and implications (20182025)",https://doi.org/10.54254/2753-7080/2026.31302,LLMs & NLP,2026,4.5949316,0.18671371,0,True,hybrid,https://ahr.ewapub.com/article/view/31302.pdf
311,The Quantization Trap: Breaking Linear Scaling Laws in Multi-Hop Reasoning,https://doi.org/10.48550/arxiv.2602.13595,LLMs & NLP,2026,5.4677224,-2.0732567,0,True,green,
312,GNNFairViz: Visual Analysis for Graph Neural Network Fairness,https://doi.org/10.1109/tvcg.2025.3542419,Graph-Based Fairness & Bias Mitigation,2025,8.479503,-0.8411753,4,False,closed,
313,Procedural Fairness in Machine Learning,https://doi.org/10.1613/jair.1.20498,General Fairness & Bias Mitigation,2026,6.304445,-2.716871,0,True,diamond,https://www.jair.org/index.php/jair/article/download/20498/27275
314,Beyond Black Boxes: Designing and Testing Agentic AI Systems for Strategy,https://doi.org/10.1287/stsc.2025.0432,General Fairness & Bias Mitigation,2026,3.7254355,-2.684346,1,False,closed,
315,A Non-Parametric Choice Model That Learns How Users Choose Between Recommended Options,https://doi.org/10.1145/3705328.3748090,Recommender Systems,2025,8.650897,1.1028633,0,True,gold,https://doi.org/10.1145/3705328.3748090
316,Fairness and Bias in Multimodal AI: A Survey,https://doi.org/10.48550/arxiv.2406.19097,General Fairness & Bias Mitigation,2024,5.229253,-0.53564847,3,True,green,https://arxiv.org/pdf/2406.19097
317,Towards Fair Graph Neural Networks via Counterfactual and Balance,https://doi.org/10.3390/info16080704,Graph-Based Fairness & Bias Mitigation,2025,8.520384,-0.880314,0,True,gold,https://www.mdpi.com/2078-2489/16/8/704/pdf?version=1755577766
318,Fairness Testing of Large Language Models in Role-Playing,https://doi.org/10.48550/arxiv.2411.00585,LLMs & NLP,2024,4.850636,0.53458095,5,True,green,https://arxiv.org/pdf/2411.00585
319,PreCoF: counterfactual explanations for fairness,https://doi.org/10.1007/s10994-023-06319-8,General Fairness & Bias Mitigation,2023,1.114235,-2.604431,20,True,bronze,https://link.springer.com/content/pdf/10.1007/s10994-023-06319-8.pdf
320,Generative AI and the Foundation Model Era: A Comprehensive Review,https://doi.org/10.3390/bdcc10030094,LLMs & NLP,2026,6.025926,0.836573,0,True,gold,https://www.mdpi.com/2504-2289/10/3/94/pdf
321,From Detection to Mitigation: Addressing Bias in Deep Learning Models for Chest X-Ray Diagnosis,https://doi.org/10.1142/9789819824755_0039,Health & Clinical AI,2025,1.0112202,-1.9193367,0,True,gold,https://doi.org/10.1142/9789819824755_0039
322,Popularity bias reduction in multi-criteria recommender systems: the RelPref and PriRelPref approaches,https://doi.org/10.7717/peerj-cs.3658,Recommender Systems,2026,8.670639,1.4155836,0,True,gold,https://doi.org/10.7717/peerj-cs.3658
323,Fairness-in-the-Workflow: How Machine Learning Practitioners at Big Tech Companies Approach Fairness in Recommender Systems,https://doi.org/10.1145/3772318.3791347,Recommender Systems,2026,9.147362,0.5787692,0,True,gold,https://doi.org/10.1145/3772318.3791347
324,"Bias Is a Math Problem, AI Bias Is a Technical Problem: 10-Year Literature Review of AI/LLM Bias Research Reveals Narrow [Gender-Centric] Conceptions of ‘Bias’, and Academia-Industry Gap",https://doi.org/10.1609/aies.v8i2.36613,General Fairness & Bias Mitigation,2025,4.762266,-1.2805932,0,True,bronze,https://ojs.aaai.org/index.php/AIES/article/download/36613/38751
325,Advancing Fairness in Generative AI Through Intrinsic and Extrinsic Bias Evaluation and Mitigation,https://doi.org/10.1609/aies.v8i3.36764,LLMs & NLP,2025,4.0648,-2.325835,0,True,bronze,https://ojs.aaai.org/index.php/AIES/article/download/36764/38902
326,NLP Needs Diversity outside of ‘Diversity’,https://doi.org/10.18653/v1/2025.findings-emnlp.1275,LLMs & NLP,2025,5.3833632,-0.32950488,0,True,gold,https://aclanthology.org/2025.findings-emnlp.1275.pdf
327,Exploring Social Choice Mechanisms for Recommendation Fairness in SCRUF,https://doi.org/10.48550/arxiv.2309.08621,Recommender Systems,2023,9.083176,0.5545359,1,True,green,https://arxiv.org/pdf/2309.08621
328,Dialectal Toxicity Detection: Evaluating LLM-as-a-Judge Consistency Across Language Varieties,https://doi.org/10.48550/arxiv.2411.10954,LLMs & NLP,2024,4.3724866,0.7395934,1,True,green,https://arxiv.org/pdf/2411.10954
329,Cross-Lingual Retrieval Augmented Prompt for Low-Resource Languages,https://doi.org/10.48550/arxiv.2212.09651,LLMs & NLP,2022,5.246141,0.93710536,1,True,green,https://arxiv.org/pdf/2212.09651
330,Beyond Demographics: Evaluating News Recommender Systems Fairness Through Behavioural Communities,https://doi.org/10.1145/3708319.3733694,Recommender Systems,2025,9.159863,0.70148367,1,True,gold,https://dl.acm.org/doi/pdf/10.1145/3708319.3733694
331,Fairness and Diversity in Recommender Systems: A Survey,https://doi.org/10.1145/3664928,Recommender Systems,2024,8.937207,0.6259421,73,True,bronze,https://dl.acm.org/doi/pdf/10.1145/3664928
332,Differential Privacy Has Disparate Impact on Model Accuracy,https://doi.org/10.48550/arxiv.1905.12101,General Fairness & Bias Mitigation,2019,6.258139,-2.0996063,77,True,green,https://arxiv.org/pdf/1905.12101
333,Exploring gender biases in ML and AI academic research through systematic literature review,https://doi.org/10.3389/frai.2022.976838,General Fairness & Bias Mitigation,2022,4.6903715,-2.6693268,83,True,gold,https://www.frontiersin.org/articles/10.3389/frai.2022.976838/pdf
334,Artificial intelligence in nursing education: A scoping review of intelligent tutoring systems-evidence and implementation gaps,https://doi.org/10.1016/j.nedt.2026.107056,Health & Clinical AI,2026,2.420426,-1.3812633,0,True,hybrid,https://doi.org/10.1016/j.nedt.2026.107056
335,In Anticipation of Perfect Deepfake: Identity-anchored Artifact-agnostic Detection under Rebalanced Deepfake Detection Protocol,https://doi.org/10.48550/arxiv.2405.00483,General Fairness & Bias Mitigation,2024,6.0218964,0.87730414,0,True,green,https://arxiv.org/pdf/2405.00483
336,RepMatch: Quantifying Cross-Instance Similarities in Representation Space,https://doi.org/10.48550/arxiv.2410.09642,General Fairness & Bias Mitigation,2024,6.262015,-1.1860527,0,True,green,https://arxiv.org/pdf/2410.09642
337,Algorithmic fairness in artificial intelligence for medicine and healthcare,https://doi.org/10.1038/s41551-023-01056-8,Health & Clinical AI,2023,2.888116,0.023408107,558,True,green,https://pmc.ncbi.nlm.nih.gov/articles/PMC10632090/pdf/nihms-1940941.pdf
338,Algorithmic fairness and bias mitigation for clinical machine learning with deep reinforcement learning,https://doi.org/10.1038/s42256-023-00697-3,Health & Clinical AI,2023,1.0771843,-2.58689,108,True,hybrid,https://www.nature.com/articles/s42256-023-00697-3.pdf
339,Fairness of artificial intelligence in healthcare: review and recommendations,https://doi.org/10.1007/s11604-023-01474-3,Health & Clinical AI,2023,2.1963978,-1.70614,497,True,hybrid,https://link.springer.com/content/pdf/10.1007/s11604-023-01474-3.pdf
340,Bias in artificial intelligence algorithms and recommendations for mitigation,https://doi.org/10.1371/journal.pdig.0000278,General Fairness & Bias Mitigation,2023,2.263308,-2.4236286,533,True,gold,https://journals.plos.org/digitalhealth/article/file?id=10.1371/journal.pdig.0000278&type=printable
341,"A Survey of Large Language Models for Healthcare: from Data, Technology, and Applications to Accountability and Ethics",https://doi.org/10.48550/arxiv.2310.05694,Health & Clinical AI,2023,2.4718266,-0.44929773,28,True,green,https://arxiv.org/pdf/2310.05694
342,"“Kelly is a Warm Person, Joseph is a Role Model”: Gender Biases in LLM-Generated Reference Letters",https://doi.org/10.18653/v1/2023.findings-emnlp.243,LLMs & NLP,2023,5.2248445,0.2626149,104,True,gold,https://aclanthology.org/2023.findings-emnlp.243.pdf
