"SN","corpus_doi","openalex_id","doi","title","year","cited_by_count","abstract","referenced_works","is_oa","oa_status","oa_url","openalex_authors","openalex_affiliations","openalex_countries","keywords"
"1","doi.org/10.1038/s41591-019-0726-6","https://openalex.org/W3000558625","https://doi.org/10.1038/s41591-019-0726-6","Diagnosing bias in data-driven algorithms for healthcare","2020","62","A recent analysis highlighting the potential for algorithms to perpetuate existing racial biases in healthcare underscores the importance of thinking carefully about the labels used during algorithm development.","https://openalex.org/W2040236338; https://openalex.org/W2599245417; https://openalex.org/W2766447205; https://openalex.org/W2776803885; https://openalex.org/W2790216347; https://openalex.org/W2896893468; https://openalex.org/W2981869278; https://openalex.org/W4234253946","False","closed","","Jenna Wiens; W. Nicholson Price; Michael W. Sjoding","University of Michigan; University of Michigan; University of Michigan","USA; USA; USA","Health care; Computer science; Data science; Algorithm; Machine learning; Artificial intelligence; Political science"
"2","doi.org/10.7189/jogh.09.020318","https://openalex.org/W2990072080","https://doi.org/10.7189/jogh.09.020318","Artificial intelligence and algorithmic bias: implications for health systems","2019","499","Algorithmic bias occurs when the application of an algorithm compounds existing inequities in socioeconomic status, race, ethnic background, religion, gender, disability or sexual orientation to amplify them and adversely impact equity in health systems.","https://openalex.org/W2897620540; https://openalex.org/W2899560923; https://openalex.org/W2902802452; https://openalex.org/W2943505205; https://openalex.org/W2963125461; https://openalex.org/W2964696298; https://openalex.org/W4254943578; https://openalex.org/W6745730051","True","gold","https://doi.org/10.7189/jogh.09.020318","Trishan Panch; Heather Mattie; Rifat Atun","Harvard University; Harvard University; Harvard Global Health Institute","USA; USA; USA","Computer science; MEDLINE; Data science; Artificial intelligence; Biology"
"3","doi.org/10.1055/s-0039-1677903","https://openalex.org/W2940562610","https://doi.org/10.1055/s-0039-1677903","Artificial Intelligence in Clinical Decision Support: Challenges for Evaluating AI and Practical Implications","2019","335","OBJECTIVES: This paper draws attention to: i) key considerations for evaluating artificial intelligence (AI) enabled clinical decision support; and ii) challenges and practical implications of AI design, development, selection, use, and ongoing surveillance. METHOD: A narrative review of existing research and evaluation approaches along with expert perspectives drawn from the International Medical Informatics Association (IMIA) Working Group on Technology Assessment and Quality Development in Health Informatics and the European Federation for Medical Informatics (EFMI) Working Group for Assessment of Health Information Systems. RESULTS: There is a rich history and tradition of evaluating AI in healthcare. While evaluators can learn from past efforts, and build on best practice evaluation frameworks and methodologies, questions remain about how to evaluate the safety and effectiveness of AI that dynamically harness vast amounts of genomic, biomarker, phenotype, electronic record, and care delivery data from across health systems. This paper first provides a historical perspective about the evaluation of AI in healthcare. It then examines key challenges of evaluating AI-enabled clinical decision support during design, development, selection, use, and ongoing surveillance. Practical aspects of evaluating AI in healthcare, including approaches to evaluation and indicators to monitor AI are also discussed. CONCLUSION: Commitment to rigorous initial and ongoing evaluation will be critical to ensuring the safe and effective integration of AI in complex sociotechnical settings. Specific enhancements that are required for the new generation of AI-enabled clinical decision support will emerge through practical application.","https://openalex.org/W157321957; https://openalex.org/W238097029; https://openalex.org/W1587891348; https://openalex.org/W1608561605; https://openalex.org/W1638058964; https://openalex.org/W1721421031; https://openalex.org/W1964390473; https://openalex.org/W1965302809; https://openalex.org/W1969456304; https://openalex.org/W1981856733; https://openalex.org/W1982474988; https://openalex.org/W1987418054; https://openalex.org/W1991616245; https://openalex.org/W2013195504; https://openalex.org/W2019818855; https://openalex.org/W2023361253; https://openalex.org/W2029957791; https://openalex.org/W2037100677; https://openalex.org/W2037177386; https://openalex.org/W2039509869; https://openalex.org/W2046727047; https://openalex.org/W2057012437; https://openalex.org/W2058669377; https://openalex.org/W2061142835; https://openalex.org/W2074229969; https://openalex.org/W2096323317; https://openalex.org/W2103833293; https://openalex.org/W2119573062; https://openalex.org/W2129523281; https://openalex.org/W2138935105; https://openalex.org/W2145019247; https://openalex.org/W2146297376; https://openalex.org/W2146980252; https://openalex.org/W2154083080; https://openalex.org/W2171998032; https://openalex.org/W2290283963; https://openalex.org/W2411819123; https://openalex.org/W2558593178; https://openalex.org/W2562059022; https://openalex.org/W2595764213; https://openalex.org/W2616399473; https://openalex.org/W2802561155; https://openalex.org/W2811510161; https://openalex.org/W2885766510; https://openalex.org/W2892773404; https://openalex.org/W2895083984; https://openalex.org/W2895763047; https://openalex.org/W2896289756; https://openalex.org/W2897690051; https://openalex.org/W2910707576; https://openalex.org/W2913059989; https://openalex.org/W3004287234; https://openalex.org/W4243627720; https://openalex.org/W6658017343; https://openalex.org/W6681164515; https://openalex.org/W6734764060","True","hybrid","http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0039-1677903.pdf","Farah Magrabi; Elske Ammenwerth; Jytte Brender McNair; N. F. de Keizer; Hannele Hyppönen; Pirkko Nykänen; Michael Rigby; Philip Scott; Tuulikki Vehko; Zoie Shui-Yee Wong; Andrew Georgiou","Macquarie University; UMIT - Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik; Aalborg University; Amsterdam University Medical Centers; Finnish Institute for Health and Welfare; Tampere University; Keele University; University of Portsmouth; Finnish Institute for Health and Welfare; St. Luke's International University; Macquarie University","Australia; Austria; Denmark; Netherlands; Finland; Finland; United Kingdom; United Kingdom; Finland; Japan; Australia","Clinical decision support system; Decision support system; Health informatics; Computer science; Health care; Informatics; Health Administration Informatics; Sociotechnical system; Quality (philosophy); Knowledge management; Data science; Management science; Artificial intelligence; Engineering; Political science"
"4","doi.org/10.1007/s11042-023-16029-x","https://openalex.org/W4385074164","https://doi.org/10.1007/s11042-023-16029-x","Artificial intelligence bias in medical system designs: a systematic review","2023","57","Fairness emerged as an important requirement to guarantee that Machine Learning (ML) predictive systems do not discriminate against specific individuals or entire sub-populations, in particular, minorities. Given the inherent subjectivity of viewing the concept of fairness, several notions of fairness have been introduced in the literature. This paper is a survey that illustrates the subtleties between fairness notions through a large number of examples and scenarios. In addition, unlike other surveys in the literature, it addresses the question of “which notion of fairness is most suited to a given real-world scenario and why?”. Our attempt to answer this question consists in (1) identifying the set of fairness-related characteristics of the real-world scenario at hand, (2) analyzing the behavior of each fairness notion, and then (3) fitting these two elements to recommend the most suitable fairness notion in every specific setup. The results are summarized in a decision diagram that can be used by practitioners and policy makers to navigate the relatively large catalogue of ML fairness notions.","https://openalex.org/W1961345416; https://openalex.org/W1996892731; https://openalex.org/W2025574664; https://openalex.org/W2116485318; https://openalex.org/W2160628533; https://openalex.org/W2282821441; https://openalex.org/W2290121903; https://openalex.org/W2338318698; https://openalex.org/W2462426679; https://openalex.org/W2531269403; https://openalex.org/W2550925836; https://openalex.org/W2563852449; https://openalex.org/W2616536620; https://openalex.org/W2658306063; https://openalex.org/W2743948853; https://openalex.org/W2745765293; https://openalex.org/W2757251151; https://openalex.org/W2809598685; https://openalex.org/W2810135932; https://openalex.org/W2888073688; https://openalex.org/W2888109941; https://openalex.org/W2897198251; https://openalex.org/W2900702386; https://openalex.org/W2907554860; https://openalex.org/W2910707576; https://openalex.org/W2911122801; https://openalex.org/W2915829734; https://openalex.org/W2919356958; https://openalex.org/W2921547887; https://openalex.org/W2921802966; https://openalex.org/W2922512202; https://openalex.org/W2940487144; https://openalex.org/W2946647999; https://openalex.org/W2961077600; https://openalex.org/W2962772482; https://openalex.org/W2963116854; https://openalex.org/W2969363904; https://openalex.org/W2974479098; https://openalex.org/W2974817986; https://openalex.org/W2977522001; https://openalex.org/W2980144156; https://openalex.org/W2981659567; https://openalex.org/W2981869278; https://openalex.org/W2990072080; https://openalex.org/W2990714382; https://openalex.org/W2990768863; https://openalex.org/W2994033829; https://openalex.org/W3002137088; https://openalex.org/W3004493409; https://openalex.org/W3005185514; https://openalex.org/W3005781444; https://openalex.org/W3006047402; https://openalex.org/W3006389498; https://openalex.org/W3011403448; https://openalex.org/W3011720571; https://openalex.org/W3011762034; https://openalex.org/W3021074122; https://openalex.org/W3029881688; https://openalex.org/W3030030520; https://openalex.org/W3031839920; https://openalex.org/W3037771725; https://openalex.org/W3042723358; https://openalex.org/W3043023066; https://openalex.org/W3049568452; https://openalex.org/W3080245372; https://openalex.org/W3091997966; https://openalex.org/W3097558241; https://openalex.org/W3101136263; https://openalex.org/W3101206394; https://openalex.org/W3103308590; https://openalex.org/W3110181119; https://openalex.org/W3119755710; https://openalex.org/W3127851201; https://openalex.org/W3131158873; https://openalex.org/W3133528528; https://openalex.org/W3137522685; https://openalex.org/W3142612619; https://openalex.org/W3144296942; https://openalex.org/W3144886804; https://openalex.org/W3162819150; https://openalex.org/W3168476703; https://openalex.org/W3171929138; https://openalex.org/W3176768410; https://openalex.org/W3180721273; https://openalex.org/W3181414820; https://openalex.org/W3183328464; https://openalex.org/W3185175075; https://openalex.org/W3191449917; https://openalex.org/W3193908336; https://openalex.org/W3194757962; https://openalex.org/W3202121377; https://openalex.org/W3205332925; https://openalex.org/W3205551384; https://openalex.org/W3206242500; https://openalex.org/W3206840963; https://openalex.org/W3208920975; https://openalex.org/W3211938138; https://openalex.org/W3212022028; https://openalex.org/W3212368439; https://openalex.org/W3212814508; https://openalex.org/W3213019893; https://openalex.org/W3213508730; https://openalex.org/W3215116185; https://openalex.org/W4200191097; https://openalex.org/W4200296940; https://openalex.org/W4205090046; https://openalex.org/W4205682137; https://openalex.org/W4205765055; https://openalex.org/W4206222922; https://openalex.org/W4206225377; https://openalex.org/W4206398356; https://openalex.org/W4206481454; https://openalex.org/W4210395023; https://openalex.org/W4211155626; https://openalex.org/W4213203281; https://openalex.org/W4213278005; https://openalex.org/W4214640909; https://openalex.org/W4220653406; https://openalex.org/W4220709008; https://openalex.org/W4220839569; https://openalex.org/W4221051856; https://openalex.org/W4221104163; https://openalex.org/W4221159532; https://openalex.org/W4224281327; https://openalex.org/W4224283596; https://openalex.org/W4225003227; https://openalex.org/W4225305182; https://openalex.org/W4225323865; https://openalex.org/W4229036967; https://openalex.org/W4243298593; https://openalex.org/W4243882032; https://openalex.org/W4250404144; https://openalex.org/W4251230722; https://openalex.org/W4281263011; https://openalex.org/W4281628031; https://openalex.org/W4281829192; https://openalex.org/W4282548202; https://openalex.org/W4285176431; https://openalex.org/W4289258088; https://openalex.org/W4318818317; https://openalex.org/W4319020189; https://openalex.org/W4324133166; https://openalex.org/W4367042148; https://openalex.org/W4367042151; https://openalex.org/W4404788945","True","bronze","https://link.springer.com/content/pdf/10.1007/s11042-023-16029-x.pdf","Ashish Kumar; Vivekanand Aelgani; Rubeena Vohra; Suneet Kumar Gupta; Mrinalini Bhagawati; Sudip Paul; Luca Saba; Neha Suri; Narendra N. Khanna; John R. Laird; Amer M. Johri; Manudeep Kalra; Mostafa M. Fouda; Mostafa Fatemi; Subbaram Naidu; Jasjit S. Suri","Bennett University; CMR University; Bharati Vidyapeeth Deemed University; Bennett University; North Eastern Hill University; North Eastern Hill University; University of Cagliari; ; ; St. Helena Hospital; Queen's University; Massachusetts General Hospital; Idaho State University; Mayo Clinic; University of Minnesota, Duluth; ","India; India; India; India; India; India; Italy; USA; India; USA; Canada; USA; USA; USA; USA; USA","Computer science; Artificial intelligence; Machine learning; Selection bias; Ranking (information retrieval); Process (computing); Protocol (science); Data mining; Statistics"
"5","doi.org/10.3390/medicina56030141","https://openalex.org/W3011720571","https://doi.org/10.3390/medicina56030141","Inherent Bias in Artificial Intelligence-Based Decision Support Systems for Healthcare","2020","46","The objective of this article is to discuss the inherent bias involved with artificial intelligence-based decision support systems for healthcare. In this article, the authors describe some relevant work published in this area. A proposed overview of solutions is also presented. The authors believe that the information presented in this article will enhance the readers' understanding of this inherent bias and add to the discussion on this topic. Finally, the authors discuss an overview of the need to implement transdisciplinary solutions that can be used to mitigate this bias.","https://openalex.org/W123164946; https://openalex.org/W600073390; https://openalex.org/W799324218; https://openalex.org/W1984064633; https://openalex.org/W1989155359; https://openalex.org/W1997162438; https://openalex.org/W2043139244; https://openalex.org/W2102997328; https://openalex.org/W2110795632; https://openalex.org/W2128186353; https://openalex.org/W2143563700; https://openalex.org/W2151148677; https://openalex.org/W2159644410; https://openalex.org/W2261718849; https://openalex.org/W2346275821; https://openalex.org/W2398872240; https://openalex.org/W2766165895; https://openalex.org/W2785011159; https://openalex.org/W2891338921; https://openalex.org/W2910707576; https://openalex.org/W2954580163; https://openalex.org/W4244744260; https://openalex.org/W4256597070; https://openalex.org/W6692360469; https://openalex.org/W6748409025; https://openalex.org/W6765195542","True","gold","https://www.mdpi.com/1648-9144/56/3/141/pdf?version=1616053024","Varadraj P. Gurupur; Thomas T. H. Wan","University of Central Florida; University of Central Florida","USA; USA","Computer science; Decision support system; Health care; Applications of artificial intelligence; Artificial intelligence; Work (physics); Management science; Data science; Engineering; Political science"
"6","doi.org/10.1016/j.ijinfomgt.2021.102387","https://openalex.org/W3180721273","https://doi.org/10.1016/j.ijinfomgt.2021.102387","Algorithmic bias in data-driven innovation in the age of AI","2021","403","Until now, much of the work on machine learning and health has focused on processes inside the hospital or clinic. However, this represents only a narrow set of tasks and challenges related to health; there is greater potential for impact by leveraging machine learning in health tasks more broadly. In this Perspective we aim to highlight potential opportunities and challenges for machine learning within a holistic view of health and its influences. To do so, we build on research in population and public health that focuses on the mechanisms between different cultural, social and environmental factors and their effect on the health of individuals and communities. We present a brief introduction to research in these fields, data sources and types of tasks, and use these to identify settings where machine learning is relevant and can contribute to new knowledge. Given the key foci of health equity and disparities within public and population health, we juxtapose these topics with the machine learning subfield of algorithmic fairness to highlight specific opportunities where machine learning, public and population health may synergize to achieve health equity.","https://openalex.org/W235499762; https://openalex.org/W1494137514; https://openalex.org/W1500693574; https://openalex.org/W1530446948; https://openalex.org/W1536271633; https://openalex.org/W1545946630; https://openalex.org/W1566953426; https://openalex.org/W1571042833; https://openalex.org/W1686247645; https://openalex.org/W1902144558; https://openalex.org/W1974685101; https://openalex.org/W1975494714; https://openalex.org/W1979290264; https://openalex.org/W1997097379; https://openalex.org/W2013371377; https://openalex.org/W2034909844; https://openalex.org/W2039281946; https://openalex.org/W2061504941; https://openalex.org/W2083415664; https://openalex.org/W2089402107; https://openalex.org/W2095932468; https://openalex.org/W2125520059; https://openalex.org/W2129658695; https://openalex.org/W2141155750; https://openalex.org/W2141975087; https://openalex.org/W2146635036; https://openalex.org/W2157373269; https://openalex.org/W2159881076; https://openalex.org/W2169667133; https://openalex.org/W2205608594; https://openalex.org/W2252769999; https://openalex.org/W2277561781; https://openalex.org/W2293397519; https://openalex.org/W2299859864; https://openalex.org/W2304096286; https://openalex.org/W2304640842; https://openalex.org/W2317894896; https://openalex.org/W2346237356; https://openalex.org/W2416579087; https://openalex.org/W2432215141; https://openalex.org/W2483433689; https://openalex.org/W2498041801; https://openalex.org/W2507134384; https://openalex.org/W2554467860; https://openalex.org/W2568908347; https://openalex.org/W2574134800; https://openalex.org/W2581132130; https://openalex.org/W2593197694; https://openalex.org/W2594625992; https://openalex.org/W2597150627; https://openalex.org/W2606568264; https://openalex.org/W2619904157; https://openalex.org/W2726904498; https://openalex.org/W2728168792; https://openalex.org/W2730009363; https://openalex.org/W2730922864; https://openalex.org/W2742108348; https://openalex.org/W2755359835; https://openalex.org/W2780079276; https://openalex.org/W2783479218; https://openalex.org/W2793816798; https://openalex.org/W2850875954; https://openalex.org/W2889104608; https://openalex.org/W2890793284; https://openalex.org/W2896833840; https://openalex.org/W2897042519; https://openalex.org/W2897702578; https://openalex.org/W2898277783; https://openalex.org/W2898970033; https://openalex.org/W2912582449; https://openalex.org/W2934059069; https://openalex.org/W2935164741; https://openalex.org/W2935668059; https://openalex.org/W2942109571; https://openalex.org/W2944988415; https://openalex.org/W2945776595; https://openalex.org/W2946229706; https://openalex.org/W2949268808; https://openalex.org/W2949448858; https://openalex.org/W2950465016; https://openalex.org/W2954266614; https://openalex.org/W2956557631; https://openalex.org/W2967813257; https://openalex.org/W2969625533; https://openalex.org/W2971246084; https://openalex.org/W2978384285; https://openalex.org/W2979906316; https://openalex.org/W2981451251; https://openalex.org/W2987177316; https://openalex.org/W2987977008; https://openalex.org/W2990299717; https://openalex.org/W2994898777; https://openalex.org/W2995382404; https://openalex.org/W2996741354; https://openalex.org/W2999447814; https://openalex.org/W2999490220; https://openalex.org/W3001779409; https://openalex.org/W3003162384; https://openalex.org/W3004692522; https://openalex.org/W3004897296; https://openalex.org/W3005222337; https://openalex.org/W3007642645; https://openalex.org/W3015776100; https://openalex.org/W3016719704; https://openalex.org/W3023793582; https://openalex.org/W3027836562; https://openalex.org/W3032477800; https://openalex.org/W3033733989; https://openalex.org/W3033772731; https://openalex.org/W3034016765; https://openalex.org/W3042107202; https://openalex.org/W3044177347; https://openalex.org/W3045741511; https://openalex.org/W3046940078; https://openalex.org/W3048367007; https://openalex.org/W3087051200; https://openalex.org/W3089548320; https://openalex.org/W3089691379; https://openalex.org/W3098075008; https://openalex.org/W3100279624; https://openalex.org/W3122990156; https://openalex.org/W3123095187; https://openalex.org/W3125549700; https://openalex.org/W3129794348; https://openalex.org/W3129849828; https://openalex.org/W3130928145; https://openalex.org/W3134895089; https://openalex.org/W3138237914; https://openalex.org/W3155174178; https://openalex.org/W3158390126; https://openalex.org/W3159204223; https://openalex.org/W3160080452; https://openalex.org/W3196969067; https://openalex.org/W3203309159; https://openalex.org/W3212368439; https://openalex.org/W4213304376; https://openalex.org/W4221044479; https://openalex.org/W4288660287; https://openalex.org/W4299530062; https://openalex.org/W4382987554; https://openalex.org/W6602586656; https://openalex.org/W6609220930; https://openalex.org/W6682360254; https://openalex.org/W6691563659; https://openalex.org/W6697173452; https://openalex.org/W6730424566; https://openalex.org/W6735076454; https://openalex.org/W6755677594; https://openalex.org/W6758745053; https://openalex.org/W6761691285; https://openalex.org/W6761858889; https://openalex.org/W6765532710; https://openalex.org/W6777695659; https://openalex.org/W6781200388; https://openalex.org/W6782821236; https://openalex.org/W6783506258; https://openalex.org/W6783654247; https://openalex.org/W6794264031; https://openalex.org/W6802107319; https://openalex.org/W6809894155","False","closed","","Shahriar Akter; Grace McCarthy; Shahriar Sajib; Katina Michael; Yogesh K. Dwivedi; John D’Ambra; Kathy Ning Shen","University of Wollongong; University of Wollongong; University of Technology Sydney; Institute for the Future; Symbiosis International University; UNSW Sydney; United Arab Emirates University","Australia; Australia; Australia; USA; India; Australia; United Arab Emirates","Process (computing); Product (mathematics); Thematic analysis; Data science; Computer science; Big data; Data mining; Sociology; Mathematics; Social science"
"7","doi.org/10.48550/arXiv.1507.05259","https://openalex.org/W2949200088","https://doi.org/10.48550/arxiv.1507.05259","Fairness Constraints: Mechanisms for Fair Classification","2015","335","Algorithmic decision making systems are ubiquitous across a wide variety of online as well as offline services. These systems rely on complex learning methods and vast amounts of data to optimize the service functionality, satisfaction of the end user and profitability. However, there is a growing concern that these automated decisions can lead, even in the absence of intent, to a lack of fairness, i.e., their outcomes can disproportionately hurt (or, benefit) particular groups of people sharing one or more sensitive attributes (e.g., race, sex). In this paper, we introduce a flexible mechanism to design fair classifiers by leveraging a novel intuitive measure of decision boundary (un)fairness. We instantiate this mechanism with two well-known classifiers, logistic regression and support vector machines, and show on real-world data that our mechanism allows for a fine-grained control on the degree of fairness, often at a small cost in terms of accuracy.","","True","green","https://arxiv.org/pdf/1507.05259","Muhammad Bilal Zafar; Isabel Valera; Manuel Gomez-Rodriguez; Krishna P. Gummadi","Max Planck Institute for Software Systems; Max Planck Society; Max Planck Society; Max Planck Institute for Software Systems","Germany; Germany; Germany; Germany","Computer science; Variety (cybernetics); Mechanism (biology); Decision boundary; Machine learning; Profitability index; Support vector machine; Service (business); Artificial intelligence; Business"
"8","doi.org/10.48550/arXiv.2207.07068","https://openalex.org/W4285787372","https://doi.org/10.48550/arxiv.2207.07068","Bias Mitigation for Machine Learning Classifiers: A Comprehensive Survey","2022","23","This paper provides a comprehensive survey of bias mitigation methods for achieving fairness in Machine Learning (ML) models. We collect a total of 341 publications concerning bias mitigation for ML classifiers. These methods can be distinguished based on their intervention procedure (i.e., pre-processing, in-processing, post-processing) and the technique they apply. We investigate how existing bias mitigation methods are evaluated in the literature. In particular, we consider datasets, metrics and benchmarking. Based on the gathered insights (e.g., What is the most popular fairness metric? How many datasets are used for evaluating bias mitigation methods?), we hope to support practitioners in making informed choices when developing and evaluating new bias mitigation methods.","","True","green","https://arxiv.org/pdf/2207.07068","Max Hort; Zhenpeng Chen; Jie M. Zhang; Mark Harman; Federica Sarro","Simula Research Laboratory; University College London; King’s College London; University College London; University College London","Norway; United Kingdom; United Kingdom; United Kingdom; United Kingdom","Benchmarking; Computer science; Metric (unit); Machine learning; Artificial intelligence; Data mining; Engineering; Marketing; Operations management; Business"
"9","doi.org/10.3390/sci6010003","https://openalex.org/W4390229867","https://doi.org/10.3390/sci6010003","Fairness and Bias in Artificial Intelligence: A Brief Survey of Sources, Impacts, and Mitigation Strategies","2023","668","The significant advancements in applying artificial intelligence (AI) to healthcare decision-making, medical diagnosis, and other domains have simultaneously raised concerns about the fairness and bias of AI systems. This is particularly critical in areas like healthcare, employment, criminal justice, credit scoring, and increasingly, in generative AI models (GenAI) that produce synthetic media. Such systems can lead to unfair outcomes and perpetuate existing inequalities, including generative biases that affect the representation of individuals in synthetic data. This survey study offers a succinct, comprehensive overview of fairness and bias in AI, addressing their sources, impacts, and mitigation strategies. We review sources of bias, such as data, algorithm, and human decision biases—highlighting the emergent issue of generative AI bias, where models may reproduce and amplify societal stereotypes. We assess the societal impact of biased AI systems, focusing on perpetuating inequalities and reinforcing harmful stereotypes, especially as generative AI becomes more prevalent in creating content that influences public perception. We explore various proposed mitigation strategies, discuss the ethical considerations of their implementation, and emphasize the need for interdisciplinary collaboration to ensure effectiveness. Through a systematic literature review spanning multiple academic disciplines, we present definitions of AI bias and its different types, including a detailed look at generative AI bias. We discuss the negative impacts of AI bias on individuals and society and provide an overview of current approaches to mitigate AI bias, including data pre-processing, model selection, and post-processing. We emphasize the unique challenges presented by generative AI models and the importance of strategies specifically tailored to address these. Addressing bias in AI requires a holistic approach involving diverse and representative datasets, enhanced transparency and accountability in AI systems, and the exploration of alternative AI paradigms that prioritize fairness and ethical considerations. This survey contributes to the ongoing discussion on developing fair and unbiased AI systems by providing an overview of the sources, impacts, and mitigation strategies related to AI bias, with a particular focus on the emerging field of generative AI.","https://openalex.org/W1568174276; https://openalex.org/W1819662813; https://openalex.org/W2095932468; https://openalex.org/W2100960835; https://openalex.org/W2116984840; https://openalex.org/W2531099434; https://openalex.org/W2551317447; https://openalex.org/W2557671501; https://openalex.org/W2575439561; https://openalex.org/W2584805976; https://openalex.org/W2597425331; https://openalex.org/W2599025709; https://openalex.org/W2788481061; https://openalex.org/W2809878087; https://openalex.org/W2893425640; https://openalex.org/W2897042519; https://openalex.org/W2897154134; https://openalex.org/W2898970033; https://openalex.org/W2950018712; https://openalex.org/W2950068534; https://openalex.org/W2962059918; https://openalex.org/W2962922665; https://openalex.org/W2963125461; https://openalex.org/W2963917042; https://openalex.org/W2964031043; https://openalex.org/W2981869278; https://openalex.org/W3029881688; https://openalex.org/W3036458852; https://openalex.org/W3094239814; https://openalex.org/W3094268584; https://openalex.org/W3100279624; https://openalex.org/W3138819813; https://openalex.org/W3181414820; https://openalex.org/W3204423820; https://openalex.org/W3212368439; https://openalex.org/W3217570815; https://openalex.org/W4220718380; https://openalex.org/W4221045317; https://openalex.org/W4223519342; https://openalex.org/W4248633940; https://openalex.org/W4282915382; https://openalex.org/W4288359825; https://openalex.org/W4289258088; https://openalex.org/W4290033826; https://openalex.org/W4388488349; https://openalex.org/W4388995913; https://openalex.org/W4388996366; https://openalex.org/W6634071448; https://openalex.org/W6638208828; https://openalex.org/W6721933647; https://openalex.org/W6729471474; https://openalex.org/W6735104260; https://openalex.org/W6745730051; https://openalex.org/W6768870410","True","gold","https://www.mdpi.com/2413-4155/6/1/3/pdf?version=1703577406","Emilio Ferrara","University of Southern California","USA","Generative grammar; Artificial intelligence; Generative model; Computer science; Selection bias; Perception; Representation (politics); Data science; Machine learning; Management science; Psychology; Political science; Economics"
"10","doi.org/10.48550/arXiv.2206.02237","https://openalex.org/W6910583716","https://doi.org/10.48550/arxiv.2206.02237","Enforcing Group Fairness in Algorithmic Decision Making: Utility Maximization Under Sufficiency","2022","0","Binary decision making classifiers are not fair by default. Fairness requirements are an additional element to the decision making rationale, which is typically driven by maximizing some utility function. In that sense, algorithmic fairness can be formulated as a constrained optimization problem. This paper contributes to the discussion on how to implement fairness, focusing on the fairness concepts of positive predictive value (PPV) parity, false omission rate (FOR) parity, and sufficiency (which combines the former two). We show that group-specific threshold rules are optimal for PPV parity and FOR parity, similar to well-known results for other group fairness criteria. However, depending on the underlying population distributions and the utility function, we find that sometimes an upper-bound threshold rule for one group is optimal: utility maximization under PPV parity (or FOR parity) might thus lead to selecting the individuals with the smallest utility for one group, instead of selecting the most promising individuals. This result is counter-intuitive and in contrast to the analogous solutions for statistical parity and equality of opportunity. We also provide a solution for the optimal decision rules satisfying the fairness constraint sufficiency. We show that more complex decision rules are required and that this leads to within-group unfairness for all but one of the groups. We illustrate our findings based on simulated and real data.","","True","green","https://doi.org/10.48550/arxiv.2206.02237","Baumann, Joachim; Hannák, Anikó; Heitz, Christoph","University of Zurich; Zurich University of Applied Sciences; Zurich University of Applied Sciences","Switzerland; Switzerland; Switzerland","Maximization; Population; Decision rule; Parity (physics); Optimal decision; Constraint (computer-aided design); Binary number; Group (periodic table); Admissible decision rule"
