SN,Paper Title,DOI,Authors,Author Regions,Affiliations,Year,Domain,Focus Region,Source,ORC ID
692,Pragmatic Fairness: Evaluating ML Fairness within the Constraints of Industry,10.1145/3715275.3732040,Jessie J. Smith; Michael Madaio; Robin Burke; Casey Fiesler,USA; USA; USA; USA,University of Colorado Boulder; Google (United States); University of Colorado Boulder; University of Colorado Boulder,2025,General Fairness & Bias Mitigation,,FAccT,0000-0003-4990-912X; 0000-0001-5772-0488; 0000-0001-5766-6434; 0000-0002-8743-4201
693,Social Perception of Faces in a Vision-Language Model,10.1145/3715275.3732041,Carina Ines Hausladen; Manuel Knott; Colin F. Camerer; Pietro Perona,USA; USA; USA; USA,California Institute of Technology; California Institute of Technology; California Institute of Technology; California Institute of Technology,2025,General Fairness & Bias Mitigation,,FAccT,0000-0003-4397-2339; 0000-0002-5447-4549; 0000-0003-4049-1871; 0000-0002-7583-5809
694,Group Fair Rated Preference Aggregation: Ties Are (Mostly) All You Need,10.1145/3715275.3732042,Kathleen Cachel; Elke A. Rundensteiner,USA; USA,Worcester Polytechnic Institute; Worcester Polytechnic Institute,2025,General Fairness & Bias Mitigation,,FAccT,0000-0002-1260-0914; 0000-0001-5375-9254
695,Identities are not Interchangeable: The Problem of Overgeneralization in Fair Machine Learning,10.1145/3715275.3732033,Angelina Wang,USA,Cornell University,2025,General Fairness & Bias Mitigation,,FAccT,0000-0001-9140-3523
696,"Not Like Us, Hunty: Measuring Perceptions and Behavioral Effects of Minoritized Anthropomorphic Cues in LLMs",10.1145/3715275.3732045,Jeffrey Basoah; Daniel Chechelnitsky; Tao Long; Katharina Reinecke; Chrysoula Zerva; Kaitlyn Zhou; Mark Díaz; Maarten Sap,USA; USA; USA; USA; Portugal; USA; USA; USA,University of Washington; Carnegie Mellon University; Columbia University; University of Washington; University of Lisbon; Stanford University; Google (United States); Carnegie Mellon University,2025,LLMs & NLP,,FAccT,; ; 0000-0002-1173-3475; 0000-0001-7897-9325; 0000-0002-4031-9492; 0000-0001-8804-8161; 0000-0003-0167-9839; 0000-0002-0701-4654
697,Measuring Machine Learning Harms from Stereotypes Requires Understanding Who Is Harmed by Which Errors in What Ways,10.1145/3715275.3732046,Angelina Wang; Xuechunzi Bai; Solon Barocas; Su Lin Blodgett,USA; USA; USA; Canada,Cornell University; University of Chicago; Microsoft (United States); Microsoft (Canada),2025,General Fairness & Bias Mitigation,,FAccT,0000-0001-9140-3523; 0000-0002-2277-5451; 0000-0003-4577-466X; 0000-0002-9861-3483
698,"In the Picture: Medical Imaging Datasets, Artifacts, and their Living Review",10.1145/3715275.3732035,Amelia Jiménez-Sánchez; Natalia-Rozalia Avlona; Sarah de Boer; Víctor M. Campello; Aasa Feragen; Enzo Ferrante; Melanie Ganz; Judy Wawira Gichoya; Camila González; Steff Groefsema; Alessa Hering; Ádám Hulmán; Leo Joskowicz; Dovile Juodelyte; Melih Kandemir; Thijs Kooi; Jorge del Pozo Lérida; Livie Yumeng Li; André G. C. Pacheco; Tim Rädsch; Mauricio Reyes; Théo Sourget; Bram van Ginneken; David Wen; Nina Weng; Jack Junchi Xu; Hubert Dariusz Zając; María A. Zuluaga; Veronika Cheplygina,Denmark; ; Netherlands; ; Denmark; Argentina; Denmark; USA; USA; ; Netherlands; Denmark; ; Denmark; Denmark; ; ; Denmark; ; Germany; Switzerland; Denmark; Netherlands; United Kingdom; Denmark; Denmark; ; France; Denmark,IT University of Copenhagen; ; Radboud University Nijmegen; ; Danish Geotechnical Society; Institute of Astronomy and Space Physics; Rigshospitalet; Emory University; Stanford University; ; Radboud University Nijmegen; Aarhus University; ; IT University of Copenhagen; Odense Municipality; ; ; Aarhus University; ; Heidelberg University; University of Bern; IT University of Copenhagen; Radboud University Nijmegen; Oxford University Hospitals NHS Trust; Danish Geotechnical Society; Copenhagen University Hospital; ; EURECOM; IT University of Copenhagen,2025,Health & Clinical AI,,FAccT,0000-0001-7870-0603; 0000-0002-1009-1810; 0000-0001-5184-4340; 0000-0003-1727-983X; 0000-0002-9945-981X; 0000-0002-8500-788X; 0000-0002-9120-8098; 0000-0002-1097-316X; 0000-0002-4510-7309; 0009-0001-4195-9221; 0000-0002-7602-803X; 0000-0002-3969-1000; 0000-0002-3010-4770; 0000-0002-6195-1120; 0000-0001-6293-3656; 0000-0001-7701-7837; ; 0009-0000-8579-6228; 0000-0003-0117-9308; 0000-0003-3518-0315; 0000-0002-2434-9990; 0009-0005-0220-9590; 0000-0003-2028-8972; 0000-0001-9112-8517; 0009-0006-4635-0438; 0000-0002-2259-6795; 0000-0003-0689-6912; 0000-0002-1147-766X; 0000-0003-0176-9324
699,Dangerous Criminals and Beautiful Prostitutes? Investigating Harmful Representations in Dutch Language Models,10.1145/3715275.3732065,Zilin Lin; Gabriela Trogrlic; Claes H. de Vreese; Natali Helberger,Netherlands; Netherlands; Netherlands; Netherlands,Amsterdam University of the Arts; Amsterdam University of the Arts; Amsterdam University of the Arts; Amsterdam University of the Arts,2025,LLMs & NLP,,FAccT,0000-0003-1757-1769; ; 0000-0002-4962-1698; 0000-0003-1652-0580
700,Component-Based Fairness in Face Attribute Classification with Bayesian Network-informed Meta Learning,10.1145/3715275.3732066,Yifan Liu; Ruichen Yao; Yaokun Liu; Ruohan Zong; Zelin Li; Yang Zhang; Dong Wang,USA; USA; USA; USA; USA; USA; USA,University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign,2025,General Fairness & Bias Mitigation,,FAccT,0009-0003-6658-8089; ; 0009-0004-5180-4540; 0000-0002-6499-3406; ; 0000-0001-8135-369X; 0000-0002-9599-8023
701,Towards Effective Discrimination Testing for Generative AI,10.1145/3715275.3732067,Thomas P. Zollo; Nikita Rajaneesh; Richard S. Zemel; Talia B. Gillis; Emily Black,USA; USA; USA; USA; USA,Columbia University; Columbia University; Columbia University; Columbia University; New York University,2025,LLMs & NLP,,FAccT,; 0009-0004-2271-3551; 0000-0001-9353-7509; 0000-0001-8084-5158; 0000-0002-4301-3739
702,Who Gets Heard? Calling Out the Hard-to-Reach Myth for Non-WEIRD Populations' Recruitment and Involvement in Research,10.1145/3715275.3732055,Ankolika De; Shaheen Kanthawala; Jessica Maddox,USA; USA; USA,Pennsylvania State University; University of Alabama; University of Alabama,2025,General Fairness & Bias Mitigation,,FAccT,0009-0000-5279-1420; 0000-0001-9321-0266; 0000-0001-6549-1048
703,Un-Straightening Generative AI: How Queer Artists Surface and Challenge Model Normativity,10.1145/3715275.3732061,Jordan Taylor; Joel Mire; Franchesca Spektor; Alicia DeVrio; Maarten Sap; Haiyi Zhu; Sarah Fox,USA; USA; USA; USA; USA; USA; USA,Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University,2025,LLMs & NLP,,FAccT,0000-0002-0896-992X; ; 0000-0003-4278-1346; 0000-0002-9912-4198; 0000-0002-0701-4654; 0000-0001-7271-9100; 0000-0002-7888-2598
704,Liberatory Collections and Ethical AI: Reimagining AI Development from Black Community Archives and Datasets,10.1145/3715275.3732058,Payton Croskey; Fabian Offert; Jennifer Jacobs; Kai M. Thaler,USA; USA; USA; USA,"University of California, Santa Barbara; University of California, Santa Barbara; University of California, Santa Barbara; University of California, Santa Barbara",2025,General Fairness & Bias Mitigation,,FAccT,; ; 0000-0001-8666-8527; 0000-0003-0836-8689
