University,Domain,Count
Institut d'Etudes Politiques de Paris,General Fairness & Bias Mitigation,1
Institute for Infocomm Research,General Fairness & Bias Mitigation,2
Institute for Infocomm Research,Graph-Based Fairness & Bias Mitigation,1
Institute of Computing Technology,General Fairness & Bias Mitigation,1
Institute of Science and Technology Austria,General Fairness & Bias Mitigation,1
Intel,General Fairness & Bias Mitigation,1
International Computer Science Institute,General Fairness & Bias Mitigation,1
Intesa Sanpaolo (Italy),General Fairness & Bias Mitigation,1
Iowa State University,General Fairness & Bias Mitigation,2
Iowa State University,Graph-Based Fairness & Bias Mitigation,1
Ipsen (France),Health & Clinical AI,1
JPMorgan Chase,Health & Clinical AI,1
Japan Advanced Institute of Science and Technology,Graph-Based Fairness & Bias Mitigation,1
Jawaharlal Nehru University,General Fairness & Bias Mitigation,1
Jilin University,LLMs & NLP,1
Jimei University,LLMs & NLP,1
Jinan University,Recommender Systems,1
Johns Hopkins University,Health & Clinical AI,1
Johns Hopkins University,LLMs & NLP,3
Johns Hopkins University,Recommender Systems,1
KAIST,LLMs & NLP,1
Kaiser Permanente,Health & Clinical AI,1
Kansas State University,General Fairness & Bias Mitigation,1
Kennesaw State University,LLMs & NLP,1
Khatam University,General Fairness & Bias Mitigation,1
King Fahad Hospital Hufūf,Health & Clinical AI,1
King Hussein Cancer Center,General Fairness & Bias Mitigation,1
King Mongkut's Institute of Technology Ladkrabang,Health & Clinical AI,1
King's College London,General Fairness & Bias Mitigation,1
L3S Research Center & Leibniz University Hannover,General Fairness & Bias Mitigation,1
LMU Munich,LLMs & NLP,1
La Trobe University,Graph-Based Fairness & Bias Mitigation,1
La Trobe University,Health & Clinical AI,2
Lancaster University,General Fairness & Bias Mitigation,1
Lappeenranta-Lahti University of Technology,LLMs & NLP,1
Leibniz University Hannover,General Fairness & Bias Mitigation,2
Leibniz University Hannover,Graph-Based Fairness & Bias Mitigation,2
Leuphana University of Lüneburg,Graph-Based Fairness & Bias Mitigation,1
LinkedIn,General Fairness & Bias Mitigation,1
LinkedIn,Recommender Systems,1
Luleå University of Technology,General Fairness & Bias Mitigation,1
Lund University,LLMs & NLP,1
Luxembourg Institute of Science & Technology,Graph-Based Fairness & Bias Mitigation,1
Luxembourg Institute of Science and Technology,Recommender Systems,1
MIT,General Fairness & Bias Mitigation,6
MIT,Health & Clinical AI,5
MIT,LLMs & NLP,2
MKSSS's Cummins College of Engineering for Women,LLMs & NLP,1
Macquarie University,Health & Clinical AI,1
Mastercard,LLMs & NLP,1
Max Planck Institute for Software Systems,General Fairness & Bias Mitigation,3
McGill University,Health & Clinical AI,1
McGill University,LLMs & NLP,1
Mentor,Health & Clinical AI,1
Michigan State University,General Fairness & Bias Mitigation,1
Michigan State University,LLMs & NLP,1
Michigan Technological University,General Fairness & Bias Mitigation,1
Microsoft,General Fairness & Bias Mitigation,1
Microsoft,LLMs & NLP,1
Microsoft,Recommender Systems,1
Microsoft Corporation,General Fairness & Bias Mitigation,1
Microsoft Research,LLMs & NLP,2
Middle Tennessee State University,General Fairness & Bias Mitigation,1
Middle Tennessee State University,Health & Clinical AI,1
Middle Tennessee State University,LLMs & NLP,1
Mila - Quebec Artificial Intelligence Institute,LLMs & NLP,1
Mohammed First University,Health & Clinical AI,1
Morgan State University,General Fairness & Bias Mitigation,2
Munich Center for Machine Learning,General Fairness & Bias Mitigation,2
N/A,General Fairness & Bias Mitigation,1
Nanjing University,LLMs & NLP,1
National Taiwan University,General Fairness & Bias Mitigation,1
National Taiwan University,LLMs & NLP,2
National University of Singapore,General Fairness & Bias Mitigation,2
National University of Singapore,Health & Clinical AI,1
National Yang Ming Chiao Tung University,LLMs & NLP,1
New York City Health and Hospitals Corporation,Health & Clinical AI,2
New York University,General Fairness & Bias Mitigation,5
New York University,Health & Clinical AI,1
Nokia (United Kingdom),General Fairness & Bias Mitigation,1
North Carolina State University,General Fairness & Bias Mitigation,4
Northeastern University,General Fairness & Bias Mitigation,2
Northeastern University,Health & Clinical AI,1
Northeastern University,LLMs & NLP,2
Northwest Normal University,Recommender Systems,1
Northwestern University,General Fairness & Bias Mitigation,1
Northwestern University,Health & Clinical AI,1
Northwestern University,LLMs & NLP,2
Oregon State University,General Fairness & Bias Mitigation,2
Osaka City University Hospital,Health & Clinical AI,1
Osaka University,LLMs & NLP,1
PES University,Health & Clinical AI,2
Palo Alto University,General Fairness & Bias Mitigation,1
Palo Alto University,Health & Clinical AI,1
Palo Alto University,LLMs & NLP,1
Pandit Deendayal Petroleum University,LLMs & NLP,1
Partners In Health,General Fairness & Bias Mitigation,1
Peking University,LLMs & NLP,3
Pennsylvania State University,General Fairness & Bias Mitigation,2
Pennsylvania State University,Graph-Based Fairness & Bias Mitigation,1
Politecnico di Milano,General Fairness & Bias Mitigation,1
Politecnico di Torino,General Fairness & Bias Mitigation,1
Polytechnic University of Bari,Recommender Systems,2
Princeton University,General Fairness & Bias Mitigation,6
Princeton University,LLMs & NLP,1
Purdue University West Lafayette,Health & Clinical AI,1
Pwani University,Health & Clinical AI,1
Queen Mary University of London,Health & Clinical AI,1
Queen Mary University of London,LLMs & NLP,1
Queen Mary University of London,Recommender Systems,1
RMIT University,General Fairness & Bias Mitigation,1
RWTH Aachen University,General Fairness & Bias Mitigation,1
Radboud University Nijmegen,Graph-Based Fairness & Bias Mitigation,1
Radboud University Nijmegen,Recommender Systems,1
Renmin University of China,General Fairness & Bias Mitigation,1
Renmin University of China,LLMs & NLP,3
Renmin University of China,Recommender Systems,1
Rensselaer Polytechnic Institute,General Fairness & Bias Mitigation,1
Rensselaer Polytechnic Institute,Graph-Based Fairness & Bias Mitigation,2
Rice University,General Fairness & Bias Mitigation,1
Rice University,Graph-Based Fairness & Bias Mitigation,1
Ruhr University Bochum,General Fairness & Bias Mitigation,1
Rutgers University,General Fairness & Bias Mitigation,1
Rutgers University,LLMs & NLP,1
Rutgers University,Recommender Systems,4
SRM Institute of Science and Technology,Recommender Systems,1
Saarland University,Graph-Based Fairness & Bias Mitigation,1
Saarland University,LLMs & NLP,1
Salesforce,Graph-Based Fairness & Bias Mitigation,1
Samsung (India),Recommender Systems,1
Santa Clara University,LLMs & NLP,1
"School of Computer Science and Engineering, RV University, Bengaluru, Karnataka 560059, India",LLMs & NLP,1
Scuola Superiore Sant'Anna,General Fairness & Bias Mitigation,1
Seattle University,LLMs & NLP,2
Seattle University,Recommender Systems,1
Seoul National University,LLMs & NLP,1
Shandong University,Recommender Systems,1
Shanghai Jiao Tong University,Health & Clinical AI,1
Shanghai Jiao Tong University,LLMs & NLP,1
Shanghai Jiao Tong University,Recommender Systems,1
Shanghai Normal University,Health & Clinical AI,1
