"country","total_ai_papers","bias_papers","bias_share_pct","share_zscore"
"Mauritania","101","0","0.0","-0.47067090396073435"
"Cuba","2454","0","0.0","-0.47067090396073435"
"Cayman Islands","481","0","0.0","-0.47067090396073435"
"Central African Republic","42","0","0.0","-0.47067090396073435"
"Chad","84","0","0.0","-0.47067090396073435"
"Chile","15884","0","0.0","-0.47067090396073435"
"Congo","106","0","0.0","-0.47067090396073435"
"Congo, Democratic Republic of the","518","0","0.0","-0.47067090396073435"
"Costa Rica","1752","0","0.0","-0.47067090396073435"
"Croatia","8638","0","0.0","-0.47067090396073435"
"Curaçao","51","0","0.0","-0.47067090396073435"
"Eswatini","118","0","0.0","-0.47067090396073435"
"Cyprus","7628","0","0.0","-0.47067090396073435"
"Czech Republic","29973","0","0.0","-0.47067090396073435"
"Côte d'Ivoire","532","0","0.0","-0.47067090396073435"
"Djibouti","32","0","0.0","-0.47067090396073435"
"Dominican Republic","402","0","0.0","-0.47067090396073435"
"Ecuador","7573","0","0.0","-0.47067090396073435"
"El Salvador","345","0","0.0","-0.47067090396073435"
"Eritrea","60","0","0.0","-0.47067090396073435"
"Cameroon","2741","0","0.0","-0.47067090396073435"
"Cambodia","1475","0","0.0","-0.47067090396073435"
"Cabo Verde","29","0","0.0","-0.47067090396073435"
"Burundi","671","0","0.0","-0.47067090396073435"
"Angola","112","0","0.0","-0.47067090396073435"
"Antigua and Barbuda","309","0","0.0","-0.47067090396073435"
"Armenia","1634","0","0.0","-0.47067090396073435"
"Azerbaijan","3889","0","0.0","-0.47067090396073435"
"Bahamas","71","0","0.0","-0.47067090396073435"
"Bahrain","2231","0","0.0","-0.47067090396073435"
"Barbados","92","0","0.0","-0.47067090396073435"
"Belarus","4111","0","0.0","-0.47067090396073435"
"Belize","28","0","0.0","-0.47067090396073435"
"Benin","642","0","0.0","-0.47067090396073435"
"Bermuda","24","0","0.0","-0.47067090396073435"
"Bhutan","215","0","0.0","-0.47067090396073435"
"Bolivia","807","0","0.0","-0.47067090396073435"
"Bosnia and Herzegovina","2792","0","0.0","-0.47067090396073435"
"Botswana","842","0","0.0","-0.47067090396073435"
"Brunei Darussalam","1067","0","0.0","-0.47067090396073435"
"Burkina Faso","412","0","0.0","-0.47067090396073435"
"Estonia","4522","0","0.0","-0.47067090396073435"
"Ethiopia","6913","0","0.0","-0.47067090396073435"
"Martinique","37","0","0.0","-0.47067090396073435"
"Lesotho","72","0","0.0","-0.47067090396073435"
"Kazakhstan","9235","0","0.0","-0.47067090396073435"
"Korea, Democratic People's Republic of","404","0","0.0","-0.47067090396073435"
"Kosovo","806","0","0.0","-0.47067090396073435"
"Kuwait","4249","0","0.0","-0.47067090396073435"
"Kyrgyzstan","993","0","0.0","-0.47067090396073435"
"Lao People's Democratic Republic","181","0","0.0","-0.47067090396073435"
"Albania","1322","0","0.0","-0.47067090396073435"
"Lebanon","6536","0","0.0","-0.47067090396073435"
"Liberia","71","0","0.0","-0.47067090396073435"
"Faroe Islands","134","0","0.0","-0.47067090396073435"
"Libya","1844","0","0.0","-0.47067090396073435"
"Liechtenstein","223","0","0.0","-0.47067090396073435"
"Lithuania","6102","0","0.0","-0.47067090396073435"
"Madagascar","267","0","0.0","-0.47067090396073435"
"Malawi","517","0","0.0","-0.47067090396073435"
"Maldives","181","0","0.0","-0.47067090396073435"
"Mali","234","0","0.0","-0.47067090396073435"
"Malta","1654","0","0.0","-0.47067090396073435"
"Jamaica","380","0","0.0","-0.47067090396073435"
"Iraq","31075","0","0.0","-0.47067090396073435"
"Iceland","1868","0","0.0","-0.47067090396073435"
"Hungary","17919","0","0.0","-0.47067090396073435"
"Fiji","725","0","0.0","-0.47067090396073435"
"French Guiana","73","0","0.0","-0.47067090396073435"
"French Polynesia","76","0","0.0","-0.47067090396073435"
"Gabon","104","0","0.0","-0.47067090396073435"
"Gambia","127","0","0.0","-0.47067090396073435"
"Georgia","1419","0","0.0","-0.47067090396073435"
"Gibraltar","26","0","0.0","-0.47067090396073435"
"Greenland","59","0","0.0","-0.47067090396073435"
"Grenada","89","0","0.0","-0.47067090396073435"
"Guadeloupe","101","0","0.0","-0.47067090396073435"
"Guam","62","0","0.0","-0.47067090396073435"
"Guatemala","495","0","0.0","-0.47067090396073435"
"Guinea","31","0","0.0","-0.47067090396073435"
"Guinea-Bissau","25","0","0.0","-0.47067090396073435"
"Guyana","80","0","0.0","-0.47067090396073435"
"Haiti","42","0","0.0","-0.47067090396073435"
"Honduras","350","0","0.0","-0.47067090396073435"
"Latvia","3934","0","0.0","-0.47067090396073435"
