SN,Paper Title,Domain,Year,cited_by_count,in_degree_corpus,out_degree_corpus
556,Removing Spurious Features can Hurt Accuracy and Affect Groups Disproportionately,General Fairness & Bias Mitigation,2021,36,1,2
414,Intersectional Stereotypes in Large Language Models: Dataset and Analysis,LLMs & NLP,2023,4,1,0
189,Addressing algorithmic bias and the perpetuation of health inequities: An AI bias aware framework,Health & Clinical AI,2022,148,1,3
651,Speaking of Accent: A Content Analysis of Accent Misconceptions in ASR Research,LLMs & NLP,2024,6,1,0
650,The Dark Side of Dataset Scaling: Evaluating Racial Classification in Multimodal Models,General Fairness & Bias Mitigation,2024,21,1,3
373,A Framework for Assurance Audits of Algorithmic Systems,General Fairness & Bias Mitigation,2024,25,1,4
98,Visual Affect Around the World,Graph-Based Fairness & Bias Mitigation,2015,96,1,0
188,The Root Shapes the Fruit: On the Persistence of Gender-Exclusive Harms in Aligned Language Models,LLMs & NLP,2025,4,1,5
434,Towards a Science of Human-AI Decision Making: An Overview of Design Space in Empirical Human-Subject Studies,General Fairness & Bias Mitigation,2023,152,1,1
470,Understanding Disparities in Post Hoc Machine Learning Explanation,General Fairness & Bias Mitigation,2024,9,1,3
193,The Butterfly Effect in artificial intelligence systems: Implications for AI bias and fairness,General Fairness & Bias Mitigation,2024,93,1,8
370,“How Biased are Your Features?”: Computing Fairness Influence Functions with Global Sensitivity Analysis,General Fairness & Bias Mitigation,2023,8,1,4
467,Racial/Ethnic Categories in AI and Algorithmic Fairness: Why They Matter and What They Represent,General Fairness & Bias Mitigation,2024,3,0,4
462,A Framework for Exploring the Consequences of AI-Mediated Enterprise Knowledge Access and Identifying Risks to Workers,General Fairness & Bias Mitigation,2024,8,0,3
460,Meaningful Transparency for Clinicians: Operationalising HCXAI Research with Gynaecologists,Health & Clinical AI,2024,6,0,0
458,"Attitudes Toward Facial Analysis AI: A Cross-National Study Comparing Argentina, Kenya, Japan, and the USA",General Fairness & Bias Mitigation,2024,9,0,2
464,Structural Interventions and the Dynamics of Inequality,General Fairness & Bias Mitigation,2024,5,0,6
459,Learning Fairness from Demonstrations via Inverse Reinforcement Learning,General Fairness & Bias Mitigation,2024,1,0,0
465,Should Users Trust Advanced AI Assistants? Justified Trust As a Function of Competence and Alignment,General Fairness & Bias Mitigation,2024,21,0,6
425,Systematic literature review on bias mitigation in generative AI,LLMs & NLP,2025,22,0,3
415,Language or rating scales based classifications of emotions: computational analysis of language and alexithymia,LLMs & NLP,2024,4,0,0
421,SAF: Stakeholders’ Agreement on Fairness in the Practice of Machine Learning Development,General Fairness & Bias Mitigation,2023,3,0,4
433,On the Impact of Explanations on Understanding of Algorithmic Decision-Making,General Fairness & Bias Mitigation,2023,11,0,1
435,Machine Explanations and Human Understanding,General Fairness & Bias Mitigation,2023,14,0,0
431,Using the electronic health record to provide audit and feedback in medical student clerkships,Health & Clinical AI,2024,0,0,0
438,Maximal fairness,General Fairness & Bias Mitigation,2023,3,0,3
469,A preprocessing Shapley value-based approach to detect relevant and disparity prone features in machine learning,General Fairness & Bias Mitigation,2024,2,0,3
440,Help or Hinder? Evaluating the Impact of Fairness Metrics and Algorithms in Visualizations for Consensus Ranking,General Fairness & Bias Mitigation,2023,4,0,2
424,Sociodemographic bias in clinical machine learning models: a scoping review of algorithmic bias instances and mechanisms,Health & Clinical AI,2024,21,0,7
423,SKD-NER: Continual Named Entity Recognition via Span-based Knowledge Distillation with Reinforcement Learning,LLMs & NLP,2023,10,0,0
420,Retrieving Relevant Context to Align Representations for Cross-lingual Event Detection,LLMs & NLP,2023,6,0,0
416,Large Language Models are not Fair Evaluators,LLMs & NLP,2024,67,0,0
419,PEEB: Part-based Image Classifiers with an Explainable and Editable Language Bottleneck,General Fairness & Bias Mitigation,2024,2,0,0
446,Interrogating the T in FAccT,General Fairness & Bias Mitigation,2023,15,0,3
418,Patient-centricity in digital measure development: co-evolution of best practice and regulatory guidance,Health & Clinical AI,2024,9,0,0
448,A Systematic Review of Ethics Disclosures in Predictive Mental Health Research,Health & Clinical AI,2023,15,0,1
417,LLatrieval: LLM-Verified Retrieval for Verifiable Generation,LLMs & NLP,2024,15,0,0
450,Diagnosing AI Explanation Methods with Folk Concepts of Behavior,General Fairness & Bias Mitigation,2023,0,0,0
451,How to Explain and Justify Almost Any Decision: Potential Pitfalls for Accountability in AI Decision-Making,General Fairness & Bias Mitigation,2023,8,0,0
453,"Explainability in AI Policies: A Critical Review of Communications, Reports, Regulations, and Standards in the EU, US, and UK",General Fairness & Bias Mitigation,2023,58,0,1
1,Diagnosing bias in data-driven algorithms for healthcare,Health & Clinical AI,2020,62,0,1
554,When the Umpire is also a Player: Bias in Private Label Product Recommendations on E-commerce Marketplaces,Recommender Systems,2021,4,0,1
471,Fairness Beyond the Algorithmic Frame: Actionable Recommendations for an Intersectional Approach,General Fairness & Bias Mitigation,2025,6,0,19
644,Generalized People Diversity: Learning a Human Perception-Aligned Diversity Representation for People Images,General Fairness & Bias Mitigation,2024,1,0,0
661,BaBE: Enhancing Fairness via Estimation of Explaining Variables,General Fairness & Bias Mitigation,2024,0,0,2
660,Fairness without Sensitive Attributes via Knowledge Sharing,General Fairness & Bias Mitigation,2024,3,0,1
659,"Real Risks of Fake Data: Synthetic Data, Diversity-Washing and Consent Circumvention",General Fairness & Bias Mitigation,2024,35,0,4
658,Unlawful Proxy Discrimination: A Framework for Challenging Inherently Discriminatory Algorithms,General Fairness & Bias Mitigation,2024,0,0,0
657,Careless Whisper: Speech-to-Text Hallucination Harms,LLMs & NLP,2024,76,0,0
655,NLP for Maternal Healthcare: Perspectives and Guiding Principles in the Age of LLMs,Health & Clinical AI,2024,10,0,8
654,The Impact of Differential Feature Under-reporting on Algorithmic Fairness,General Fairness & Bias Mitigation,2024,2,0,1
652,One Model Many Scores: Using Multiverse Analysis to Prevent Fairness Hacking and Evaluate the Influence of Model Design Decisions,General Fairness & Bias Mitigation,2024,9,0,3
648,Impact Charts: A Tool for Identifying Systematic Bias in Social Systems and Data,General Fairness & Bias Mitigation,2024,2,0,1
647,Mitigating Group Bias in Federated Learning for Heterogeneous Devices,General Fairness & Bias Mitigation,2024,3,0,1
646,Gender Representation Across Online Retail Products,General Fairness & Bias Mitigation,2024,2,0,4
642,Gender Bias Detection in Court Decisions: A Brazilian Case Study,General Fairness & Bias Mitigation,2024,8,0,1
613,Preventing Discriminatory Decision-Making in Evolving Data Streams,General Fairness & Bias Mitigation,2023,21,0,2
638,Algorithmic Fairness in Performative Policy Learning: Escaping the Impossibility of Group Fairness,General Fairness & Bias Mitigation,2024,4,0,2
637,Towards Geographic Inclusion in the Evaluation of Text-to-Image Models,LLMs & NLP,2024,7,0,1
636,Diversity of What? On the Different Conceptualizations of Diversity in Recommender Systems,Recommender Systems,2024,13,0,0
634,Analyzing the Relationship Between Difference and Ratio-Based Fairness Metrics,General Fairness & Bias Mitigation,2024,2,0,8
633,Benchmarking the Fairness of Image Upsampling Methods,General Fairness & Bias Mitigation,2024,2,0,2
629,A Structured Regression Approach for Evaluating Model Performance Across Intersectional Subgroups,General Fairness & Bias Mitigation,2024,5,0,2
628,"Failing Our Youngest: On the Biases, Pitfalls, and Risks in a Decision Support Algorithm Used for Child Protection",General Fairness & Bias Mitigation,2024,4,0,0
627,Algorithmic Reproductive Justice,General Fairness & Bias Mitigation,2024,5,0,11
625,Representation Online Matters: Practical End-to-End Diversification in Search and Recommender Systems,Recommender Systems,2023,6,0,0
624,Runtime Monitoring of Dynamic Fairness Properties,General Fairness & Bias Mitigation,2023,17,0,3
620,Disparities in Text-to-Image Model Concept Possession Across Languages,LLMs & NLP,2023,0,0,0
663,Balancing Act: Evaluating People's Perceptions of Fair Ranking Metrics,General Fairness & Bias Mitigation,2024,8,0,10
664,From the Fair Distribution of Predictions to the Fair Distribution of Social Goods: Evaluating the Impact of Fair Machine Learning on Long-Term Unemployment,General Fairness & Bias Mitigation,2024,8,0,6
665,"The Impact of iBuying is About More Than Just Racial Disparities: Evidence from Mecklenburg County, NC",General Fairness & Bias Mitigation,2024,0,0,1
667,Transforming Dutch: Debiasing Dutch Coreference Resolution Systems for Non-binary Pronouns,LLMs & NLP,2024,0,0,2
691,Un-Straightening Generative AI: How Queer Artists Surface and Challenge Model Normativity,LLMs & NLP,2025,10,0,2
690,Who Gets Heard? Calling Out the Hard-to-Reach Myth for Non-WEIRD Populations' Recruitment and Involvement in Research,General Fairness & Bias Mitigation,2025,4,0,1
689,Towards Effective Discrimination Testing for Generative AI,LLMs & NLP,2025,0,0,6
688,Component-Based Fairness in Face Attribute Classification with Bayesian Network-informed Meta Learning,General Fairness & Bias Mitigation,2025,0,0,3
687,Dangerous Criminals and Beautiful Prostitutes? Investigating Harmful Representations in Dutch Language Models,LLMs & NLP,2025,0,0,4
685,Measuring Machine Learning Harms from Stereotypes Requires Understanding Who Is Harmed by Which Errors in What Ways,General Fairness & Bias Mitigation,2025,1,0,5
684,"Not Like Us, Hunty: Measuring Perceptions and Behavioral Effects of Minoritized Anthropomorphic Cues in LLMs",LLMs & NLP,2025,5,0,9
683,Identities are not Interchangeable: The Problem of Overgeneralization in Fair Machine Learning,General Fairness & Bias Mitigation,2025,2,0,12
682,Group Fair Rated Preference Aggregation: Ties Are (Mostly) All You Need,General Fairness & Bias Mitigation,2025,1,0,4
681,Social Perception of Faces in a Vision-Language Model,General Fairness & Bias Mitigation,2025,2,0,7
680,Pragmatic Fairness: Evaluating ML Fairness within the Constraints of Industry,General Fairness & Bias Mitigation,2025,3,0,2
679,Position is Power: System Prompts as a Mechanism of Bias in Large Language Models,LLMs & NLP,2025,9,0,16
678,African Data Ethics: A Discursive Framework for Black Decolonial AI,General Fairness & Bias Mitigation,2025,8,0,1
677,The World Wide Recipe: A Community-Centred Framework for Fine-Grained Data Collection and Regional Bias Operationalisation,General Fairness & Bias Mitigation,2025,7,0,3
676,"""It's not a representation of me"": Examining Accent Bias and Digital Exclusion in Synthetic AI Voice Services",LLMs & NLP,2025,11,0,2
675,Classifying Hate: Legal and Ethical Evaluations of ML-Assisted Hate Crime Classification and Estimation in Sweden,General Fairness & Bias Mitigation,2025,0,0,2
674,Formalising Anti-Discrimination Law in Automated Decision Systems,General Fairness & Bias Mitigation,2025,3,0,8
673,FairTranslate: an English-French Dataset for Gender Bias Evaluation in Machine Translation by Overcoming Gender Binarity,LLMs & NLP,2025,1,0,0
672,"Designing Speech Technologies for Australian Aboriginal English: Opportunities, Risks and Participation",LLMs & NLP,2025,3,0,1
671,"Emotion AI in Job Interviews: Injustice, Emotional Labor, Identity, and Privacy",General Fairness & Bias Mitigation,2025,3,0,4
670,System-2 Recommenders: Disentangling Utility and Engagement in Recommendation Systems via Temporal Point-Processes,Recommender Systems,2024,3,0,0
669,Algorithmic Arbitrariness in Content Moderation,General Fairness & Bias Mitigation,2024,18,0,0
668,Learning Fair Ranking Policies via Differentiable Optimization of Ordered Weighted Averages,General Fairness & Bias Mitigation,2024,2,0,0
616,"Cross-Institutional Transfer Learning for Educational Models: Implications for Model Performance, Fairness, and Equity",General Fairness & Bias Mitigation,2023,17,0,5
611,Does AI-Assisted Fact-Checking Disproportionately Benefit Majority Groups Online?,General Fairness & Bias Mitigation,2023,6,0,0
472,Discrimination Induced by Algorithmic Recourse Objectives,General Fairness & Bias Mitigation,2025,0,0,1
496,Using Supervised Learning to Estimate Inequality in the Size and Persistence of Income Shocks,General Fairness & Bias Mitigation,2023,4,0,1
507,Graph-Aware Contrasting for Multivariate Time-Series Classification,Graph-Based Fairness & Bias Mitigation,2024,24,0,0
506,Guardian: A Runtime Framework for LLM-Based UI Exploration,LLMs & NLP,2024,13,0,0
505,"“You Cannot Sound Like GPT"": Signs of language discrimination and resistance in computer science publishing",LLMs & NLP,2025,10,0,1
504,"Recourse, Repair, Reparation, &amp; Prevention: A Stakeholder Analysis of AI Supply Chains",General Fairness & Bias Mitigation,2025,2,0,2
503,"Frameworks, Methods and Shared Tasks: Connecting Participatory AI to Trustworthy AI Through a Systematic Review of Global Projects",General Fairness & Bias Mitigation,2025,6,0,1
502,Envisioning Stakeholder-Action Pairs to Mitigate Negative Impacts of AI: A Participatory Approach to Inform Policy Making,General Fairness & Bias Mitigation,2025,4,0,1
501,Gender Bias in Explainability: Investigating Performance Disparity in Post-hoc Methods,General Fairness & Bias Mitigation,2025,0,0,3
500,Crediting Humans: A Systematic Assessment of Influencing Factors for Human-in-the-Loop Figurations in Consumer Credit Lending Decisions,General Fairness & Bias Mitigation,2025,0,0,0
499,Constructing Capabilities: The Politics of Testing Infrastructures for Generative AI,General Fairness & Bias Mitigation,2024,9,0,4
498,Fairness in Online Ad Delivery,General Fairness & Bias Mitigation,2024,5,0,3
497,A Causal Perspective on Label Bias,General Fairness & Bias Mitigation,2024,0,0,3
495,Co-Design Perspectives on Algorithm Transparency Reporting: Guidelines and Prototypes,General Fairness & Bias Mitigation,2023,10,0,2
603,Fair Representation Clustering with Several Protected Classes,General Fairness & Bias Mitigation,2022,2,0,2
492,Rethinking Transparency as a Communicative Constellation,General Fairness & Bias Mitigation,2023,14,0,3
489,The ethical ambiguity of AI data enrichment: Measuring gaps in research ethics norms and practices,General Fairness & Bias Mitigation,2023,14,0,1
487,Navigating the Audit Landscape: A Framework for Developing Transparent and Auditable XR,General Fairness & Bias Mitigation,2023,7,0,8
485,Policy advice and best practices on bias and fairness in AI,General Fairness & Bias Mitigation,2024,76,0,25
481,Unmasking Nationality Bias: A Study of Human Perception of Nationalities in AI-Generated Articles,General Fairness & Bias Mitigation,2023,13,0,2
480,Stress-Testing Bias Mitigation Algorithms to Understand Fairness Vulnerabilities,General Fairness & Bias Mitigation,2023,3,0,1
477,Expressing stigma and inappropriate responses prevents LLMs from safely replacing mental health providers.,General Fairness & Bias Mitigation,2025,105,0,1
476,It's only fair when I think it's fair: How Gender Bias Alignment Undermines Distributive Fairness in Human-AI Collaboration,LLMs & NLP,2025,4,0,2
475,Epistemic Injustice in Algorithmic Systems and the Limits of Civil Rights Law,General Fairness & Bias Mitigation,2025,0,0,9
474,"WEIRD Audits? Research Trends, Linguistic and Geographical Disparities in the Algorithm Audits of Online Platforms - A Systematic Literature Review",General Fairness & Bias Mitigation,2025,2,0,6
473,Auditing the Audits: Lessons for Algorithmic Accountability from Local Law 144's Bias Audits,General Fairness & Bias Mitigation,2025,2,0,6
508,Complete Neural Networks for Complete Euclidean Graphs,Graph-Based Fairness & Bias Mitigation,2024,3,0,0
509,ResidualTransformer: Residual Low-Rank Learning with Weight-Sharing for Transformer Layers,General Fairness & Bias Mitigation,2023,0,0,0
510,Socially Fair k-Means Clustering,General Fairness & Bias Mitigation,2021,1,0,2
517,Classification with Fairness Constraints: A Meta-Algorithm with Provable Guarantees,General Fairness & Bias Mitigation,2019,32,0,3
602,Minimax Demographic Group Fairness in Federated Learning,General Fairness & Bias Mitigation,2022,3,0,0
601,Trade-offs between Group Fairness Metrics in Societal Resource Allocation,General Fairness & Bias Mitigation,2022,7,0,2
598,FADE: FAir Double Ensemble Learning for Observable and Counterfactual Outcomes,Health & Clinical AI,2022,9,0,4
596,Is Calibration a Fairness Requirement?,General Fairness & Bias Mitigation,2022,11,0,2
572,The Spotlight: A General Method for Discovering Systematic Errors in Deep Learning Models,General Fairness & Bias Mitigation,2022,54,0,2
562,Leveraging Administrative Data for Bias Audits: A Case Study in Child Welfare Decision Making,General Fairness & Bias Mitigation,2021,2,0,4
560,The Effect of the Rooney Rule on Implicit Bias in the Long Term,General Fairness & Bias Mitigation,2021,2,0,0
411,GumbelSoft: Diversified Language Model Watermarking via the GumbelMax-trick,LLMs & NLP,2024,6,0,0
553,Censorship of Online Encyclopedias: Implications for NLP Models,LLMs & NLP,2021,10,0,5
552,"""This Whole Thing Smacks of Gender"": Algorithmic Exclusion in Bioimpedance-based Body Composition Analysis",Health & Clinical AI,2021,2,0,0
551,Re-imagining Algorithmic Fairness in India and Beyond,General Fairness & Bias Mitigation,2021,8,0,9
547,Algorithmic Fairness in Predicting Opioid Use Disorder using Machine Learning,Health & Clinical AI,2021,9,0,0
542,Biases in Generative Art: A Causal Look from the Lens of Art History,LLMs & NLP,2021,9,0,1
540,Auditing Radicalization Pathways on YouTube,General Fairness & Bias Mitigation,2020,48,0,0
537,On the Apparent Conflict Between Individual and Group Fairness,General Fairness & Bias Mitigation,2020,21,0,2
534,"Counterfactual Risk Assessments, Evaluation, and Fairness",General Fairness & Bias Mitigation,2020,9,0,4
533,Interventions for Ranking in the Presence of Implicit Bias,General Fairness & Bias Mitigation,2020,5,0,0
532,Towards Fairer Datasets: Filtering and Balancing the Distribution of the People Subtree in the ImageNet Hierarchy,General Fairness & Bias Mitigation,2020,24,0,5
522,Analyzing Biases in Perception of Truth in News Stories and Their Implications for Fact Checking,General Fairness & Bias Mitigation,2019,30,0,0
521,Equality of Voice: Towards Fair Representation in Crowdsourced Top-K Recommendations,Recommender Systems,2019,0,0,0
520,An Empirical Study of Rich Subgroup Fairness for Machine Learning,General Fairness & Bias Mitigation,2019,11,0,1
519,Fairness Under Unawareness: Assessing Disparity When Protected Class Is Unobserved,General Fairness & Bias Mitigation,2019,17,0,2
518,A comparative study of fairness-enhancing interventions in machine learning,General Fairness & Bias Mitigation,2019,54,0,3
412,Impact on bias mitigation algorithms to variations in inferred sensitive attribute uncertainty,General Fairness & Bias Mitigation,2025,1,0,8
347,Variational Reasoning about User Preferences for Conversational Recommendation,Recommender Systems,2022,32,0,0
410,Group Fairness via Group Consensus,General Fairness & Bias Mitigation,2024,6,0,2
154,FnRGNN: Distribution-aware Fairness in Graph Neural Network,Graph-Based Fairness & Bias Mitigation,2025,0,0,0
147,Knowledge Graph-Based Diversified Recommendation,Graph-Based Fairness & Bias Mitigation,2025,0,0,0
148,Bursting the Filter Bubble with Knowledge Graph Inversion,Graph-Based Fairness & Bias Mitigation,2025,3,0,0
150,Towards an Ontology-Driven Approach to Document Bias,Graph-Based Fairness & Bias Mitigation,2025,1,0,0
151,Fair-RGNN: Mitigating Relational Bias on Knowledge Graphs,Graph-Based Fairness & Bias Mitigation,2024,1,0,2
152,Knowledge-Enhanced Language Models Are Not Bias-Proof: Situated Knowledge and Epistemic Injustice in AI,Graph-Based Fairness & Bias Mitigation,2024,21,0,2
153,Bias-Aware Agent: Enhancing Fairness in AI-Driven Knowledge Retrieval,Graph-Based Fairness & Bias Mitigation,2025,4,0,1
155,Fairness-Aware Graph Learning: A Benchmark,Graph-Based Fairness & Bias Mitigation,2025,0,0,3
145,Spoken Stereoset: on Evaluating Social Bias Toward Speaker in Speech Large Language Models,LLMs & NLP,2024,5,0,1
156,Can We Trust Recommender System Fairness Evaluation? The Role of Fairness and Relevance,Recommender Systems,2024,5,0,3
157,Integrating Individual and Group Fairness for Recommender Systems through Social Choice,Recommender Systems,2025,0,0,8
158,Fairness and Transparency in Music Recommender Systems: Improvements for Artists,Recommender Systems,2024,0,0,5
159,"Understanding Biases in ChatGPT-based Recommender Systems: Provider Fairness, Temporal Stability, and Recency",Recommender Systems,2024,35,0,1
160,Unmasking Gender Bias in Recommendation Systems and Enhancing Category-Aware Fairness,Recommender Systems,2025,5,0,7
161,No Bias Left Behind: Fairness Testing for Deep Recommender Systems Targeting General Disadvantaged Groups,Recommender Systems,2025,0,0,1
146,Position Bias Across LLM Model Families,LLMs & NLP,2025,0,0,0
144,Measuring and Mitigating Gender Entropy Bias in Large Language Models,LLMs & NLP,2025,0,0,1
127,Evaluating Bias Detection and Mitigation Approaches Across Classical and Large Language Models,LLMs & NLP,2026,0,0,0
135,Leveraging Multiple LLM Evaluators for Scalable and Fair Language Model Assessments,LLMs & NLP,2025,33,0,0
129,ThaiSBi: A Thai Social Bias Dataset for Large Language Model,LLMs & NLP,2025,0,0,0
130,Fairness in AI: Evaluating and Mitigating Bias in Decision-Making Models,LLMs & NLP,2025,0,0,2
131,Quantifying and Mitigating Occupational Bias in Open-Source Large Language Models,LLMs & NLP,2025,0,0,2
132,Exploring Bias Evaluation Techniques for Quantifying Large Language Model Biases,LLMs & NLP,2023,4,0,0
133,Mitigating Bias in Large Language Models Through Culturally-Relevant LLMs,LLMs & NLP,2025,1,0,2
134,Probing into the Fairness of Large Language Models: A Case Study of ChatGPT,LLMs & NLP,2024,5,0,4
136,Emergent Biases in Large Language Models: A Critical Review of Taxonomy and Evaluations,LLMs & NLP,2025,0,0,3
143,A Vision for Debiasing Confirmation Bias in Software Testing via LLM,LLMs & NLP,2025,0,0,0
137,Bias Detection and Mitigation in Large Language Models for Code Generation,LLMs & NLP,2025,0,0,1
138,Applying Prompt-Based Mitigation of Gender-Role Bias in Large Language Models for Security,LLMs & NLP,2025,0,0,1
139,Behind the Words: Unmasking Bias Lurking in LLMs and Data,LLMs & NLP,2025,0,0,1
140,Deep Learning Approach for Evaluating Fairness in LLMs,LLMs & NLP,2025,2,0,4
141,Comparative Study of Large Language Model Evaluation Frameworks with a Focus on NLP vs LLM-As-A-Judge Metrics,LLMs & NLP,2025,2,0,0
142,Auditing Demographic Bias in Mistral: An Open-Source LLM's Diagnostic Performance on the MedQA Benchmark,LLMs & NLP,2026,0,0,4
162,A Reproducibility Study of Product-side Fairness in Bundle Recommendation,Recommender Systems,2025,0,0,2
165,FairCRS: Towards User-oriented Fairness in Conversational Recommendation Systems,Recommender Systems,2024,5,0,2
166,Shift your Focus for the Greater Good: Improving Fairness at no cost for Accuracy and Diversity in News Recommender Systems,Recommender Systems,2026,0,0,1
197,Human-Centric AI to Mitigate AI Biases,General Fairness & Bias Mitigation,2023,32,0,0
190,Mitigating algorithmic bias in credit scoring support systems through adversarial learning,General Fairness & Bias Mitigation,2026,0,0,1
191,Algorithmic bias and transparency in artificial intelligence tools for nursing education: A scoping review,Health & Clinical AI,2026,0,0,3
192,Implications of algorithmic bias in AI-driven emergency response systems,General Fairness & Bias Mitigation,2025,0,0,0
194,Algorithmic bias: Social science research integration through the 3-D Dependable AI Framework,General Fairness & Bias Mitigation,2024,15,0,5
195,EXplainable Artificial Intelligence (XAI) for facilitating recognition of algorithmic bias: An experiment from imposed users' perspectives,General Fairness & Bias Mitigation,2024,31,0,3
196,Towards early detection of algorithmic bias from dataset's bias symptoms: An empirical study,General Fairness & Bias Mitigation,2025,1,0,0
198,"Teaching AI awareness in middle school classrooms: Design, implementation and evaluation of two education modules on algorithmic bias and filter bubbles",General Fairness & Bias Mitigation,2025,3,0,1
167,"Accuracy, Fairness, Diversity All at Once: An Influence-Function-Guided Data Enhancement Approach for Recommender System",Recommender Systems,2025,0,0,1
199,Fairness in precision medicine: Evaluating algorithmic bias in length of stay and readmission for asthma in the All of Us Research Program,Health & Clinical AI,2025,0,0,0
200,Understanding AI bias in clinical practice,Health & Clinical AI,2024,4,0,1
201,Evaluating Algorithmic Bias in 30-Day Hospital Readmission Models: Retrospective Analysis,Health & Clinical AI,2024,6,0,4
203,Rethinking fairness in unsupervised healthcare AI: A methodological scoping review,Health & Clinical AI,2026,0,0,2
204,Ontology-grounded knowledge graphs for mitigating hallucinations in large language models for clinical question answering,Graph-Based Fairness & Bias Mitigation,2026,2,0,0
205,Toward fair medical advice: Addressing and mitigating bias in large language model-based healthcare applications,Health & Clinical AI,2025,2,0,3
187,EVENS: Equality versus Equity Notion Spectrum of LLMs,LLMs & NLP,2025,0,0,3
186,Fairness of Large Language Models in Education,LLMs & NLP,2024,6,0,0
185,Unmasking Bias in Financial AI: A Robust Framework for Evaluating and Mitigating Hidden Biases in LLMs,LLMs & NLP,2025,1,0,2
183,Investigating Perception of Gender Stereotypes in Large Language Models: A Computational Grounded Theory Approach,LLMs & NLP,2025,1,0,7
182,JustEva: A Toolkit to Evaluate LLM Fairness in Legal Knowledge Inference,LLMs & NLP,2025,0,0,1
181,Towards Bias-Free Teledermatology: A Mobile-Optimized Framework Fusing Causal AI and Federated Learning,Health & Clinical AI,2025,0,0,0
180,Fair Foundation Models for Medical Image Analysis: Challenges and Perspectives,Health & Clinical AI,2026,2,0,5
179,"An Agentic Framework for Compliant, Ethical and Trustworthy GenAI Applications in Healthcare",Health & Clinical AI,2025,3,0,2
178,Inherent Bias in Electronic Health Records: A Scoping Review of Sources of Bias,Health & Clinical AI,2025,8,0,2
177,Addressing Bias and Ensuring Fairness in AI Systems for Healthcare,Health & Clinical AI,2025,1,0,5
176,Enhancing Data Diversity and Traceability to Mitigate Bias in Healthcare AI: A Blockchain-Driven Approach,Health & Clinical AI,2024,2,0,1
174,Investigating User-Side Fairness in Outcome and Process for Multi-Type Sensitive Attributes in Recommendations,Recommender Systems,2025,1,0,2
173,Rewriting Bias: Automated Rewriting to Reduce Media Bias Polarisation in News Recommender Systems,Recommender Systems,2025,0,0,0
172,Opening the Black Box: Interpretable Remedies for Popularity Bias in Recommender Systems,Recommender Systems,2025,0,0,0
171,On Inherited Popularity Bias in Cold-Start Item Recommendation,Recommender Systems,2025,0,0,1
169,Relevance-aware Individual Item Fairness Measures for Recommender Systems: Limitations and Usage Guidelines,Recommender Systems,2025,1,0,1
168,Balancing Fairness and High Match Rates in Reciprocal Recommender Systems: A Nash Social Welfare Approach,Recommender Systems,2026,0,0,1
128,Leveraging Large Language Models for Bias Detection and Mitigation in Data Analytics Models,LLMs & NLP,2025,2,0,1
126,Causal Mitigation of Pink Tax: Intersectional Bias Reduction in LLMs,LLMs & NLP,2025,0,0,2
409,Global Health Informatics: the state of research and lessons learned,Health & Clinical AI,2023,6,0,0
69,AI in Medicine: Structural Challenges in Improving Patient Care,Health & Clinical AI,2022,69,0,3
58,Fairness-Aware Machine Learning: An Extensive Overview,General Fairness & Bias Mitigation,2020,0,0,0
59,An Information Theoretic Approach to Reducing Algorithmic Bias for Machine Learning,General Fairness & Bias Mitigation,2022,25,0,6
61,Algorithmic Fairness,General Fairness & Bias Mitigation,2020,7,0,8
62,A Survey on Fairness for Machine Learning on Graphs,Graph-Based Fairness & Bias Mitigation,2024,3,0,0
64,Optimized Score Transformation for Consistent Fair Classification,General Fairness & Bias Mitigation,2021,1,0,2
67,On the Applicability of Machine Learning Fairness Notions,General Fairness & Bias Mitigation,2021,9,0,8
70,FDA-Approved ML Algorithms in Neuroradiology,Health & Clinical AI,2023,17,0,1
53,Privileged and Unprivileged Groups: An Empirical Study on the Impact of the Age Attribute on Fairness,General Fairness & Bias Mitigation,2022,5,0,8
72,Recommendations on compiling test datasets for evaluating artificial intelligence solutions in pathology,Health & Clinical AI,2022,66,0,1
77,Investigating Bias in LLM-Based Bias Detection: Disparities between LLMs and Human Perception,LLMs & NLP,2024,22,0,0
78,Systematic Biases in LLM Simulations of Debates,LLMs & NLP,2024,37,0,0
79,Kelly is a Warm Person Joseph is a Role Model: Gender Biases in LLM-Generated Reference Letters,LLMs & NLP,2023,17,0,0
80,Justice or Prejudice? Quantifying Biases in LLM-as-a-Judge,LLMs & NLP,2024,6,0,0
82,Probing Explicit and Implicit Gender Bias through LLM Conditional Text Generation,LLMs & NLP,2023,8,0,0
55,Do the Machine Learning Models on a Crowd-Sourced Platform Exhibit Bias?,General Fairness & Bias Mitigation,2020,2,0,0
49,Algorithmic Fairness Datasets: The Story So Far,General Fairness & Bias Mitigation,2022,1,0,20
125,AGR: Age Group fairness Reward for Bias Mitigation in LLMs,LLMs & NLP,2025,2,0,0
24,Removing Biased Data to Improve Fairness and Accuracy,General Fairness & Bias Mitigation,2021,10,0,6
10,Enforcing Group Fairness in Algorithmic Decision Making: Utility Maximization Under Sufficiency,General Fairness & Bias Mitigation,2022,0,0,0
12,Bias in data-driven artificial intelligence systems—An introductory survey,General Fairness & Bias Mitigation,2019,21,0,5
15,Analysis of Countries in Terms of Artificial Intelligence Technologies: PROMETHEE and GAIA Method Approach,General Fairness & Bias Mitigation,2022,23,0,0
